month,kraken_vault_proxy_veda_ink_kbtc_units,bitget_earn_proxy_aera_v3_bgbtc_units,etherfi_liquid_proxy_btc_units_all_vaults
2024-09,0,0,2444.04
2024-10,0,0,3630.88
2024-11,0,0,5870.46
2024-12,0,0,6858.39
2025-01,0,0,6589.1
2025-02,0,0,4895.0
2025-03,0,0,4910.74
2025-04,0,0,4924.24
2025-05,0,0,1178.03
2025-06,0,0,1151.06
2025-07,0,0,897.51
2025-08,0,0,479.88
2025-09,0,0,487.12
2025-10,0,0,393.77
2025-11,0,0,359.11
2025-12,0,0,366.57
2026-01,0,0,396.78
2026-02,0,0,404.57
2026-03,0,0,427.1
2026-04,0,0,172.22
2026-05,1338.51,0,184.97
2026-06,4362.12,0,187.76
2026-07,5533.15,0,197.92
2026-08,5939.46,801.36,202.68
2026-09,6484.58,801.3,218.51
