month,category_code,delta_usd_net,net_flow_btc,net_flow_usd,price_effect_usd,residual_usd
2024-10,C1,0,0.0,0,0,0
2024-10,C2,1794665883,24390.44,1629520232,165145836,-185
2024-10,C3,377373685,4793.02,320220671,57152819,195
2024-10,C4,687356,-1.07,-71486,758599,243
2024-10,C5,-5219,-0.4,-26724,21590,-85
2024-10,C6,556435060,6802.6,454480294,101954934,-168
2024-10,ALL,2729156765,35984.59,2404122987,325033778,0
2024-11,C1,0,0.0,0,0,0
2024-11,C2,2136199764,12430.78,1036105522,1100094565,-323
2024-11,C3,33981991,-2519.75,-210021164,244002669,486
2024-11,C4,2671332,-1.65,-137528,2809167,-308
2024-11,C5,-134131,-2.18,-181703,47270,302
2024-11,C6,2233659563,18281.77,1523785543,709874177,-158
2024-11,ALL,4406378519,28188.97,2349550671,2056827848,0
2024-12,C1,94,0.0,0,0,94
2024-12,C2,2712234516,30447.23,2892243249,-180008697,-36
2024-12,C3,-734041337,-7599.7,-721910697,-12130332,-309
2024-12,C4,-402083,-1.07,-101641,-300773,331
2024-12,C5,1879920,20.12,1911239,-30529,-790
2024-12,C6,-534464152,-4612.29,-438130648,-96334214,710
2024-12,ALL,1445206958,18254.29,1734011502,-288804544,0
2025-01,C1,21936938,214.17,20989255,948084,-401
2025-01,C2,1129922014,4221.29,413698157,716223624,233
2025-01,C3,-8348124,-123.29,-12082763,3734565,74
2025-01,C4,1658001,7.06,691900,966809,-708
2025-01,C5,156658,-0.28,-27441,183269,830
2025-01,C6,182666584,-957.55,-93842562,276509175,-28
2025-01,ALL,1327992071,3361.4,329426546,998565525,0
2025-02,C1,42520240,549.99,51363429,-8843917,728
2025-02,C2,-1694293980,-2294.65,-214296793,-1479997441,253
2025-02,C3,798005,86.66,8093156,-7295127,-24
2025-02,C4,-2018383,0.23,21480,-2040195,332
2025-02,C5,-418762,-0.55,-51364,-366745,-653
2025-02,C6,-359470424,2329.89,217587847,-577057635,-637
2025-02,ALL,-2012883304,671.57,62717755,-2075601059,0
2025-03,C1,26403460,336.51,28081752,-1678280,-11
2025-03,C2,49115415,2354.85,196512178,-147396290,-473
2025-03,C3,83121552,1016.67,84841088,-1719229,-307
2025-03,C4,-3096619,-35.05,-2924922,-171776,79
2025-03,C5,-1519830,-17.98,-1500431,-19835,436
2025-03,C6,224459999,3440.41,287102135,-62642413,277
2025-03,ALL,378483977,7095.41,592111801,-213627824,0
2025-04,C1,117105605,1107.7,97877485,19228806,-686
2025-04,C2,128358727,-8888.54,-785400327,913758076,978
2025-04,C3,62161332,479.47,42366451,19794971,-90
2025-04,C4,745051,-1.7,-150214,895590,-325
2025-04,C5,23466,0.0,0,23593,-127
2025-04,C6,573210079,1579.46,139562673,433647156,250
2025-04,ALL,881604260,-5723.61,-505743931,1387348191,0
2025-05,C1,14981714,-76.77,-7629552,22610997,269
2025-05,C2,308997958,-4435.69,-440827479,749826733,-1296
2025-05,C3,150903226,1249.21,124148914,26753839,473
2025-05,C4,1221492,4.08,405478,815356,658
2025-05,C5,21279,0.0,0,21152,127
2025-05,C6,712008116,3011.57,299295670,412712676,-230
2025-05,ALL,1188133785,-247.6,-24606968,1212740753,0
2025-06,C1,-58671037,-598.4,-63352127,4681095,-5
2025-06,C2,-640975679,-7645.08,-809378472,168402764,29
2025-06,C3,15331288,66.98,7091119,8240377,-208
2025-06,C4,506048,2.81,297492,208700,-145
2025-06,C5,4284,-0.01,-1059,5173,170
2025-06,C6,-368997034,-4424.11,-468376968,99379775,159
2025-06,ALL,-1052802130,-12597.81,-1333720014,280917884,0
2025-07,C1,7584024,-48.62,-5418956,13002972,9
2025-07,C2,358167630,-1528.7,-170381710,528549012,328
2025-07,C3,36889652,76.05,8476175,28413737,-260
2025-07,C4,-2035368,-23.77,-2649292,613701,224
2025-07,C5,1806576,15.46,1723099,84021,-544
2025-07,C6,213015749,-891.14,-99322272,312337777,244
2025-07,ALL,615428263,-2400.72,-267572957,883001220,0
2025-08,C1,37878930,453.04,50742841,-12863606,-306
2025-08,C2,1017735270,13608.59,1524233014,-506498699,955
2025-08,C3,175791759,1855.63,207840232,-32048315,-158
2025-08,C4,-606891,-1.48,-165768,-440464,-659
2025-08,C5,-2023010,-17.48,-1957851,-65705,546
2025-08,C6,-486387020,-2007.1,-224805662,-261580979,-379
2025-08,ALL,742389038,13891.2,1555886807,-813497769,0
2025-09,C1,477187,-94.4,-10492337,10969332,191
2025-09,C2,677622853,2167.48,240910281,436713554,-982
2025-09,C3,187885772,1383.31,153751638,34133708,426
2025-09,C4,284517,-0.45,-50016,334374,159
2025-09,C5,564676,4.95,550181,14361,134
2025-09,C6,-389084468,-5130.81,-570277409,181192870,71
2025-09,ALL,477750537,-1669.92,-185607663,663358200,0
2025-10,C1,130569165,1265.92,141565895,-10996537,-193
2025-10,C2,-341455300,-21.99,-2459108,-338996344,152
2025-10,C3,-73604688,-405.17,-45309541,-28295661,513
2025-10,C4,835902,9.95,1112693,-277003,212
2025-10,C5,-465788,-4.04,-451787,-13012,-989
2025-10,C6,-138900882,-106.02,-11856054,-127045133,305
2025-10,ALL,-423021591,738.65,82602098,-505623689,0
2025-11,C1,-159970862,-1108.08,-110790268,-49180600,6
2025-11,C2,-2064437612,-6588.77,-658771564,-1405666941,893
2025-11,C3,-108482997,113.52,11350183,-119833128,-52
2025-11,C4,-539779,8.38,837866,-1377003,-642
2025-11,C5,59455,0.85,84986,-25696,165
2025-11,C6,-1695106829,-12676.89,-1267486140,-427620319,-370
2025-11,ALL,-4028478624,-20250.99,-2024774937,-2003703687,0
2025-12,C1,74556299,912.54,81219800,-6663748,247
2025-12,C2,522804224,8122.36,722923333,-200118779,-330
2025-12,C3,3611664,235.59,20968476,-17356217,-595
2025-12,C4,1723089,22.0,1958090,-235193,192
2025-12,C5,2781368,31.78,2828550,-47863,681
2025-12,C6,-201347634,-1805.97,-160738733,-40608707,-195
2025-12,ALL,404129010,7518.3,669159517,-265030507,0
2026-01,C1,1530140,349.01,29035766,-27506077,450
2026-01,C2,-1011874088,-4043.52,-336399248,-675473988,-851
2026-01,C3,-101090489,-546.52,-45467542,-55623359,412
2026-01,C4,-962851,-1.18,-98170,-865236,555
2026-01,C5,344152,8.17,679700,-335130,-418
2026-01,C6,-235358864,-1397.22,-116241235,-119117481,-148
2026-01,ALL,-1347412000,-5631.26,-468490729,-878921271,0
2026-02,C1,-33308252,75.94,5532774,-38840700,-327
2026-02,C2,-1558756198,-10304.55,-750760467,-807996120,389
2026-02,C3,-32888232,558.2,40668879,-73556889,-222
2026-02,C4,-346196,11.8,859715,-1205615,-295
2026-02,C5,4334304,72.04,5248631,-914714,387
2026-02,C6,-112809402,542.67,39537407,-152346877,68
2026-02,ALL,-1733773976,-9043.9,-658913061,-1074860915,0
2026-03,C1,2957369,-20.8,-1406681,4363953,97
2026-03,C2,295630202,3109.87,210317004,85313575,-377
2026-03,C3,-21858035,-445.49,-30127987,8269927,24
2026-03,C4,2205323,30.21,2043068,161877,377
2026-03,C5,5958283,85.08,5753865,204931,-513
2026-03,C6,-7154116,-358.58,-24250361,17095854,392
2026-03,ALL,277739026,2400.29,162328908,115410118,0
