month,category_code,tvl_usd_gross,tvl_btc_gross,tvl_usd_net,tvl_btc_net,share_net
2024-09,C1,0,0.0,0,0.0,0.0
2024-09,C2,839555747,13257.35,729380075,11517.57,0.3581
2024-09,C3,562478017,8882.04,562478017,8882.04,0.2762
2024-09,C4,6931893,109.46,6931893,109.46,0.0034
2024-09,C5,209064,3.3,209064,3.3,0.0001
2024-09,C6,875536775,13825.52,737714132,11649.17,0.3622
2024-10,C1,0,0.0,0,0.0,0.0
2024-10,C2,4131939438,58782.49,2524045958,35908.01,0.5099
2024-10,C3,898784616,12786.44,898784616,12786.44,0.1816
2024-10,C4,7619249,108.39,7619249,108.39,0.0015
2024-10,C5,203845,2.9,203845,2.9,0.0
2024-10,C6,1642704665,23369.72,1519415984,21615.77,0.3069
2024-11,C1,0,0.0,0,0.0,0.0
2024-11,C2,7310398446,75827.72,4660245722,48338.79,0.4973
2024-11,C3,989697281,10265.72,989697281,10265.72,0.1056
2024-11,C4,10290581,106.74,10290581,106.74,0.0011
2024-11,C5,69714,0.72,69714,0.72,0.0
2024-11,C6,3854080304,39976.77,3710701081,38489.56,0.396
2024-12,C1,94,0.0,94,0.0,0.0
2024-12,C2,11306201800,120823.74,7372480238,78786.02,0.6778
2024-12,C3,249505471,2666.34,249505471,2666.34,0.0229
2024-12,C4,9888498,105.67,9888498,105.67,0.0009
2024-12,C5,1949634,20.84,1949634,20.84,0.0002
2024-12,C6,3377295258,36091.46,3243531074,34661.99,0.2982
2025-01,C1,21937032,214.17,21937032,214.17,0.0018
2025-01,C2,13009902485,127013.16,8502402252,83007.31,0.6915
2025-01,C3,260480579,2543.02,260480579,2543.02,0.0212
2025-01,C4,11546499,112.73,11546499,112.73,0.0009
2025-01,C5,2106292,20.56,2106292,20.56,0.0002
2025-01,C6,3781850915,36921.48,3497317093,34143.63,0.2844
2025-02,C1,64457272,764.16,64457272,764.16,0.0063
2025-02,C2,10923944719,129507.44,6808108272,80712.66,0.6602
2025-02,C3,404418410,4794.53,221913169,2630.86,0.0215
2025-02,C4,9528116,112.96,9528116,112.96,0.0009
2025-02,C5,1687530,20.01,1687530,20.01,0.0002
2025-02,C6,4618327159,54751.99,3206505075,38014.31,0.3109
2025-03,C1,90860732,1100.67,90860732,1100.67,0.0085
2025-03,C2,11137746880,134921.2,6857223687,83067.51,0.6433
2025-03,C3,479648266,5810.39,301068832,3647.11,0.0282
2025-03,C4,6431497,77.91,6431497,77.91,0.0006
2025-03,C5,167700,2.03,167700,2.03,0.0
2025-03,C6,4747557845,57511.3,3404229013,41238.39,0.3193
2025-04,C1,207966337,2208.37,207966337,2208.37,0.018
2025-04,C2,11851103110,125845.29,6985582414,74178.97,0.6045
2025-04,C3,638957263,6785.0,388591599,4126.4,0.0336
2025-04,C4,7176548,76.21,7176548,76.21,0.0006
2025-04,C5,191166,2.03,191166,2.03,0.0
2025-04,C6,5494901880,58349.63,3965896847,42113.33,0.3432
2025-05,C1,222948051,2131.6,222948051,2131.6,0.0179
2025-05,C2,11805434687,112871.43,7294580372,69743.28,0.5859
