month,product,category_code,tvl_usd,tvl_btc,include_net
2024-09,Lombard LBTC - held inside other listed products,C2,91006166,1437.07,0
2024-09,Lombard LBTC - direct / other holders,C2,308329902,4868.808,1
2024-09,PumpBTC - held inside other listed products,C2,17559167,277.275,0
2024-09,PumpBTC - direct / other holders,C2,83372060,1316.52,1
2024-09,Lorenzo stBTC - held inside other listed products,C2,1610339,25.429,0
2024-09,Lorenzo stBTC - direct / other holders,C2,62257334,983.1,1
2024-09,pSTAKE BTC,C2,3334753,52.659,1
2024-09,Symbiotic (BTC vaults),C2,123525326,1950.577,1
2024-09,Mellow restaking (uniBTC),C2,20315002,320.792,1
2024-09,EigenLayer / EigenCloud (BTC part),C2,154763,2.444,1
2024-09,Pell Network,C2,71603456,1130.683,1
2024-09,Solv Basis Trading (SolvBTC.TRADING),C3,172057734,2716.947,1
2024-09,BitFi bfBTC (AILayer),C3,193256190,3051.69,1
2024-09,Manta CeDeFi (BTC),C3,34497620,544.749,1
2024-09,Hope (BTC basis collateral),C3,1295827,20.462,1
2024-09,DeSyn Basis Trading (BTC),C3,154146890,2434.119,1
2024-09,Hegic (WBTC pool),C4,1979626,31.26,1
2024-09,Ribbon (WBTC theta vault),C4,1947267,30.749,1
2024-09,Lombard Vaults (LBTCv / BTCe),C6,41025131,647.824,1
2024-09,Native Credit Pool (BTC part),C5,209064,3.301,1
2024-09,B2 Buzz Farming,C6,27299008,431.076,1
2024-09,AILayer farm (AINN),C6,137822643,2176.344,0
2024-09,Proxy (PRXY BTC strategies),C6,16816912,265.554,1
2024-09,Convex (BTC LPs),C6,29935657,472.711,1
2024-09,Yearn (BTC vaults),C6,4901782,77.404,1
2024-09,Badger DAO (BTC vaults),C6,15841151,250.146,1
2024-09,Yield Yak (BTC),C6,4588185,72.452,1
2024-09,Superform (BTC),C6,556076,8.781,1
2024-09,Harvest (BTC),C6,2007176,31.695,1
2024-09,Autofarm (BTC),C6,1460085,23.056,1
2024-09,Belt (BTCB),C6,2472608,39.045,1
2024-09,Tranchess (BTCB),C6,16749034,264.482,1
2024-09,Radpie (BTC),C6,750442,11.85,1
2024-09,Aura (BTC),C6,982266,15.511,1
2024-09,Reaper (WBTC),C6,1150158,18.162,1
2024-09,Vesper (WBTC),C6,681663,10.764,1
2024-09,Kine (BTC),C6,3690469,58.276,1
2024-09,Extra Finance (cbBTC),C6,4712,0.074,1
2024-09,DeSyn Liquid Strategy (BTC),C6,16562145,261.531,1
2024-09,DeSyn Safe (BTC),C6,33440,0.528,1
2024-09,Corn Kernels pre-deposit,C6,166647101,2631.509,1
2024-09,Zircuit staking (BTC),C6,15687919,247.726,1
2024-09,Pencils Protocol (SolvBTC),C6,130283708,2057.298,1
2024-09,CoinWind (BTC),C6,59700747,942.729,1
2024-09,Flamincome (WBTC),C6,61642912,973.397,1
2024-09,Aera v2 (BTC),C6,2005243,31.665,1
2024-09,Umami (BTC),C6,4158620,65.668,1
2024-09,Capy (BTC),C6,5997509,94.706,1
2024-09,Sommelier (BTC),C6,5349329,84.471,1
2024-09,Factor leverage vault (BTC),C6,1996439,31.526,1
2024-09,OpenGDP shared security (LBTC),C2,21463097,338.922,1
2024-09,Swell swBTC,C2,35024382,553.067,1
2024-09,Stream Finance (BTC),C3,7223756,114.07,1
2024-09,Thetanuts (BTC),C4,3005000,47.452,1
2024-10,Babylon (BTC staking) - stake attributed to listed LSTs/products,C2,993477422,14133.575,0
2024-10,"Babylon (BTC staking) - other stakers (Kraken, Binance, OKX, Figment, direct)",C2,687138413,9775.484,1
2024-10,Lombard LBTC - held inside other listed products,C2,325969275,4637.359,0
2024-10,Lombard LBTC - direct / other holders,C2,421499065,5996.401,1
2024-10,Bedrock uniBTC - held inside other listed products,C2,75673941,1076.565,0
2024-10,Bedrock uniBTC - direct / other holders,C2,35040214,498.495,1
2024-10,SolvBTC LSTs (SolvBTC.BBN etc.) - held inside other listed products,C2,133876833,1904.581,0
2024-10,SolvBTC LSTs (SolvBTC.BBN etc.) - direct / other holders,C2,457175408,6503.946,1
2024-10,PumpBTC - held inside other listed products,C2,62429697,888.148,0
2024-10,PumpBTC - direct / other holders,C2,173809281,2472.675,1
2024-10,Lorenzo stBTC - held inside other listed products,C2,16466312,234.256,0
2024-10,Lorenzo stBTC - direct / other holders,C2,116216975,1653.345,1
2024-10,alloBTC,C2,37016842,526.615,1
2024-10,pSTAKE BTC,C2,10849405,154.348,1
2024-10,LISA BTC LST,C2,703669,10.011,1
2024-10,Symbiotic (BTC vaults),C2,118147871,1680.815,1
2024-10,Mellow restaking (uniBTC),C2,21995346,312.914,1
2024-10,Pell Network,C2,187455105,2666.805,1
2024-10,CIAN Yield Layer (BTC vaults),C2,1122,0.016,1
2024-10,ObeliskBTC,C2,87253408,1241.299,1
2024-10,Solv Basis Trading (SolvBTC.TRADING),C3,313240151,4456.27,1
2024-10,BitFi bfBTC (AILayer),C3,152054574,2163.184,1
2024-10,Manta CeDeFi (BTC),C3,38086620,541.834,1
2024-10,Hope (BTC basis collateral),C3,1430357,20.349,1
2024-10,DeSyn Basis Trading (BTC),C3,385996852,5491.333,1
2024-10,Hegic (WBTC pool),C4,2189654,31.151,1
2024-10,Ribbon (WBTC theta vault),C4,2142230,30.476,1
2024-10,Lombard Vaults (LBTCv / BTCe) - held inside other listed products,C6,563161,8.012,0
2024-10,Lombard Vaults (LBTCv / BTCe) - direct / other holders,C6,101127492,1438.677,1
2024-10,Native Credit Pool (BTC part),C5,203845,2.9,1
2024-10,B2 Buzz Farming,C6,78702668,1119.653,1
2024-10,AILayer farm (AINN),C6,122725520,1745.938,0
2024-10,"Veda (other BTC vaults, excl. Kraken)",C6,442760149,6298.869,1
2024-10,Proxy (PRXY BTC strategies),C6,18514365,263.392,1
2024-10,Convex (BTC LPs),C6,30062386,427.679,1
2024-10,Yearn (BTC vaults),C6,5346663,76.064,1
2024-10,Badger DAO (BTC vaults),C6,16327194,232.277,1
2024-10,Stake DAO (BTC LPs),C6,68929,0.981,1
2024-10,Yield Yak (BTC),C6,5210313,74.124,1
2024-10,Superform (BTC),C6,662053,9.419,1
2024-10,Harvest (BTC),C6,1979087,28.155,1
2024-10,Autofarm (BTC),C6,1578659,22.459,1
2024-10,Belt (BTCB),C6,2658052,37.814,1
2024-10,Tranchess (BTCB),C6,14366974,204.39,1
2024-10,Radpie (BTC),C6,790354,11.244,1
2024-10,Aura (BTC),C6,765060,10.884,1
2024-10,Reaper (WBTC),C6,1197302,17.033,1
2024-10,Vesper (WBTC),C6,754005,10.727,1
2024-10,Kine (BTC),C6,1430478,20.351,1
2024-10,DeltaPrime (BTC),C6,2273074,32.338,1
2024-10,Extra Finance (cbBTC),C6,1614888,22.974,1
2024-10,DeSyn Liquid Strategy (BTC),C6,175,0.002,1
2024-10,DeSyn Safe (BTC),C6,36900,0.525,1
2024-10,Corn Kernels pre-deposit,C6,412946592,5874.73,1
2024-10,Zircuit staking (BTC),C6,2107603,29.984,1
2024-10,Pencils Protocol (SolvBTC),C6,106054469,1508.77,1
2024-10,CoinWind (BTC),C6,65703486,934.722,1
2024-10,Flamincome (WBTC),C6,68182670,969.992,1
2024-10,Hourglass (eBTC/LBTCv),C6,563161,8.012,1
2024-10,Aera v2 (BTC),C6,138402,1.969,1
2024-10,Umami (BTC),C6,4645103,66.083,1
2024-10,Capy (BTC),C6,78523,1.117,1
2024-10,Sommelier (BTC),C6,4100067,58.329,1
2024-10,OpenGDP shared security (LBTC),C2,133625778,1901.009,1
2024-10,Swell swBTC,C2,36118056,513.829,1
2024-10,Stream Finance (BTC),C3,7976062,113.47,1
2024-10,Thetanuts (BTC),C4,3287365,46.767,1
2024-11,Babylon (BTC staking) - stake attributed to listed LSTs/products,C2,1433131736,14865.28,0
2024-11,"Babylon (BTC staking) - other stakers (Kraken, Binance, OKX, Figment, direct)",C2,865116933,8973.498,1
2024-11,Lombard LBTC - held inside other listed products,C2,594268448,6164.1,0
2024-11,Lombard LBTC - direct / other holders,C2,470391270,4879.173,1
2024-11,Bedrock uniBTC - held inside other listed products,C2,195920890,2032.206,0
2024-11,Bedrock uniBTC - direct / other holders,C2,185539550,1924.525,1
2024-11,SolvBTC LSTs (SolvBTC.BBN etc.) - held inside other listed products,C2,235727792,2445.106,0
2024-11,SolvBTC LSTs (SolvBTC.BBN etc.) - direct / other holders,C2,630117961,6535.952,1
2024-11,PumpBTC - held inside other listed products,C2,135766105,1408.245,0
2024-11,PumpBTC - direct / other holders,C2,140428440,1456.606,1
2024-11,Lorenzo stBTC - held inside other listed products,C2,55337753,573.996,0
2024-11,Lorenzo stBTC - direct / other holders,C2,126761413,1314.843,1
2024-11,Chakra,C2,70525251,731.529,1
2024-11,alloBTC,C2,50786806,526.79,1
2024-11,pSTAKE BTC,C2,14720244,152.687,1
2024-11,LISA BTC LST,C2,965690,10.017,1
2024-11,exSat Staking BTC,C2,697517482,7235.059,1
2024-11,Symbiotic (BTC vaults),C2,203886235,2114.827,1
2024-11,Mellow restaking (uniBTC),C2,23782991,246.691,1
2024-11,Pell Network,C2,380794413,3949.822,1
2024-11,CIAN Yield Layer (BTC vaults),C2,73156388,758.821,1
2024-11,ObeliskBTC,C2,317701194,3295.382,1
