segment,protocol,slug,btc_supplied,btc_plain,btc_yieldbearing,btc_lent_out,btc_in_counted_products,btc_counted,supply_apy,how,url
money_market,Aave V3,aave-v3,65620.1152,62829.2106,2790.9046,1326.9713,416.9583,62412.2523,<0.01,"BTC supplied to Aave V3 on Arbitrum, Avalanche, Base, Binance and others (WBTC, cbBTC, tBTC), almost all of it as collateral for loans. Lost about 24,000 BTC in the week after the KelpDAO exploit of 18 April 2026.",https://defillama.com/protocol/aave-v3
money_market,Morpho Blue,morpho-blue,62505.4081,62186.8599,318.5481,108.9745,6532.3748,55654.4851,<0.01,"BTC supplied to Morpho Blue on Arbitrum, Arc, Base, Citrea and others (cbBTC, kBTC, WBTC), almost all of it as collateral for loans. Most of the cbBTC on Base (about 37,900 BTC) backs Coinbase's BTC-backed loans.",https://defillama.com/protocol/morpho-blue
money_market,Compound V3,compound-v3,7663.4089,7663.4089,0.0,2.8565,0,7663.4089,0 (collateral only),"BTC supplied to Compound V3 on Arbitrum, Base, Ethereum, Linea and others (WBTC, cbBTC, tBTC), almost all of it as collateral for loans.",https://defillama.com/protocol/compound-v3
money_market,SparkLend,sparklend,10637.1026,7896.2629,2740.8398,169.4239,333.316,7562.9469,<0.01,"BTC supplied to SparkLend on Ethereum (cbBTC, WBTC, tBTC), almost all of it as collateral for loans.",https://defillama.com/protocol/sparklend
money_market,Venus Core Pool,venus-core-pool,7998.4407,7205.9736,792.4671,1341.8792,0,7205.9736,0.10,"BTC supplied to Venus Core Pool on Arbitrum, Base, Binance, Ethereum and others (BTCB, SolvBTC, WBTC), almost all of it as collateral for loans.",https://defillama.com/protocol/venus-core-pool
money_market,JustLend V1,justlend-v1,6650.2627,6650.2627,0.0,18.8189,0,6650.2627,<0.01,"BTC supplied to JustLend V1 on Tron (BTC, WBTC), almost all of it as collateral for loans. Tron BTC; one holder took out about 80,000 BTC in September and October 2024.",https://defillama.com/protocol/justlend-v1
money_market,Lista Lending,lista-lending,3075.5657,3075.5657,0.0,0.0,0,3075.5657,about 0,"BTC supplied to Lista Lending on Binance (BTCB, SolvBTC), almost all of it as collateral for loans.",https://defillama.com/protocol/lista-lending
money_market,Tydro,tydro,1150.2154,1150.2154,0.0,3.8072,0,1150.2154,<0.01,"BTC supplied to Tydro on Ink (kBTC, SolvBTC), almost all of it as collateral for loans.",https://defillama.com/protocol/tydro
money_market,Aave V4,aave-v4,1164.0839,1164.0177,0.0662,3.0544,41.03,1122.9877,<0.01,"BTC supplied to Aave V4 on Arc, Avalanche, Ethereum (WBTC, cbBTC, BTC.b), almost all of it as collateral for loans.",https://defillama.com/protocol/aave-v4
money_market,Kamino Lend,kamino-lend,1070.748,1069.3393,1.4087,26.1316,0,1069.3393,<0.01,"BTC supplied to Kamino Lend on Solana (cbBTC, xBTC, FBTC), almost all of it as collateral for loans.",https://defillama.com/protocol/kamino-lend
