segment,protocol,slug,month,btc_counted,usd_counted
cdp,Abracadabra,abracadabra-spell,2024-09,60.9637,3865436
cdp,Abracadabra,abracadabra-spell,2024-10,61.3549,4312692
cdp,Abracadabra,abracadabra-spell,2024-11,74.572,7187469
cdp,Abracadabra,abracadabra-spell,2024-12,60.7597,5678227
cdp,Abracadabra,abracadabra-spell,2025-01,62.5453,6407085
cdp,Abracadabra,abracadabra-spell,2025-02,60.1092,5068301
cdp,Abracadabra,abracadabra-spell,2025-03,43.6256,3596647
cdp,Abracadabra,abracadabra-spell,2025-04,37.8875,3565784
cdp,Abracadabra,abracadabra-spell,2025-05,36.3568,3799040
cdp,Abracadabra,abracadabra-spell,2025-06,35.7716,3835568
cdp,Abracadabra,abracadabra-spell,2025-07,33.8904,3919090
cdp,Abracadabra,abracadabra-spell,2025-08,34.7506,3762996
cdp,Abracadabra,abracadabra-spell,2025-09,31.7575,3627615
cdp,Abracadabra,abracadabra-spell,2025-10,31.3934,3440644
cdp,Abracadabra,abracadabra-spell,2025-11,32.0165,2867940
cdp,Abracadabra,abracadabra-spell,2025-12,32.3575,2829006
cdp,Abracadabra,abracadabra-spell,2026-01,33.7875,2664996
cdp,Abracadabra,abracadabra-spell,2026-02,35.2487,2355755
cdp,Abracadabra,abracadabra-spell,2026-03,25.8466,1758531
cdp,Abracadabra,abracadabra-spell,2026-04,25.2861,1924241
cdp,Abracadabra,abracadabra-spell,2026-05,25.2088,1855806
cdp,Abracadabra,abracadabra-spell,2026-06,21.543,1250356
cdp,Abracadabra,abracadabra-spell,2026-07,21.3339,1343036
cdp,Abracadabra,abracadabra-spell,2026-08,21.0897,1656509
cdp,Abracadabra,abracadabra-spell,2026-09,21.0675,1710665
cdp,Angle,angle,2024-09,54.1701,3443782
cdp,Angle,angle,2024-10,50.7578,3562708
cdp,Angle,angle,2024-11,31.8673,3070867
cdp,Angle,angle,2024-12,27.9013,2599878
cdp,Angle,angle,2025-01,34.205,3494271
cdp,Angle,angle,2025-02,23.973,2020767
cdp,Angle,angle,2025-03,21.9779,1809698
cdp,Angle,angle,2025-04,23.0856,2174320
cdp,Angle,angle,2025-05,22.7029,2369447
cdp,Angle,angle,2025-06,22.0092,2359552
cdp,Angle,angle,2025-07,21.7748,2516789
cdp,Angle,angle,2025-08,21.6181,2341401
cdp,Angle,angle,2025-09,18.7347,2140632
cdp,Angle,angle,2025-10,16.7097,1831260
cdp,Angle,angle,2025-11,15.1868,1357824
cdp,Angle,angle,2025-12,14.7055,1283911
cdp,Angle,angle,2026-01,13.279,1048872
cdp,Angle,angle,2026-02,11.303,750703
cdp,Angle,angle,2026-03,7.0956,482656
cdp,Angle,angle,2026-04,6.5934,502441
cdp,Angle,angle,2026-05,5.8889,432529
cdp,Angle,angle,2026-06,5.8819,340657
cdp,Angle,angle,2026-07,5.751,362050
cdp,Angle,angle,2026-08,5.751,451897
cdp,Angle,angle,2026-09,5.751,467365
cdp,Avalon USDa CDP,avalon-usda,2024-09,0.0,0
cdp,Avalon USDa CDP,avalon-usda,2024-10,360.0018,25573449
cdp,Avalon USDa CDP,avalon-usda,2024-11,4956.6,476973618
cdp,Avalon USDa CDP,avalon-usda,2024-12,4956.6018,463521574
cdp,Avalon USDa CDP,avalon-usda,2025-01,5107.8691,524465783
cdp,Avalon USDa CDP,avalon-usda,2025-02,5156.6016,432778102
cdp,Avalon USDa CDP,avalon-usda,2025-03,5711.6016,469110974
cdp,Avalon USDa CDP,avalon-usda,2025-04,5600.6016,527643878
cdp,Avalon USDa CDP,avalon-usda,2025-05,5600.6016,585232767
cdp,Avalon USDa CDP,avalon-usda,2025-06,5156.6016,553210533
cdp,Avalon USDa CDP,avalon-usda,2025-07,5156.6017,595024468
cdp,Avalon USDa CDP,avalon-usda,2025-08,5407.6017,586381580
cdp,Avalon USDa CDP,avalon-usda,2025-09,5407.6016,611556481
cdp,Avalon USDa CDP,avalon-usda,2025-10,5407.6016,590710857
cdp,Avalon USDa CDP,avalon-usda,2025-11,5407.6016,488251534
cdp,Avalon USDa CDP,avalon-usda,2025-12,5407.6016,476707337
cdp,Avalon USDa CDP,avalon-usda,2026-01,5407.6016,428299706
cdp,Avalon USDa CDP,avalon-usda,2026-02,5407.6016,366695102
cdp,Avalon USDa CDP,avalon-usda,2026-03,5407.6016,370388017
cdp,Avalon USDa CDP,avalon-usda,2026-04,5407.6016,412166756
cdp,Avalon USDa CDP,avalon-usda,2026-05,5407.6016,396344044
cdp,Avalon USDa CDP,avalon-usda,2026-06,3251.6016,190147101
cdp,Avalon USDa CDP,avalon-usda,2026-07,0.0,0
cdp,Avalon USDa CDP,avalon-usda,2026-08,0.0,0
cdp,Avalon USDa CDP,avalon-usda,2026-09,0.0,0
cdp,Beraborrow,beraborrow,2024-09,0.0,0
cdp,Beraborrow,beraborrow,2024-10,0.0,0
cdp,Beraborrow,beraborrow,2024-11,0.0,0
cdp,Beraborrow,beraborrow,2024-12,0.0,0
cdp,Beraborrow,beraborrow,2025-01,0.0,0
cdp,Beraborrow,beraborrow,2025-02,492.0089,40855778
cdp,Beraborrow,beraborrow,2025-03,492.1103,40330099
cdp,Beraborrow,beraborrow,2025-04,531.6746,50013601
cdp,Beraborrow,beraborrow,2025-05,409.7639,42919385
cdp,Beraborrow,beraborrow,2025-06,11.9383,1244067
cdp,Beraborrow,beraborrow,2025-07,10.146,1163277
cdp,Beraborrow,beraborrow,2025-08,6.7573,733727
cdp,Beraborrow,beraborrow,2025-09,6.4203,728167
cdp,Beraborrow,beraborrow,2025-10,6.4405,701333
cdp,Beraborrow,beraborrow,2025-11,5.459,490778
cdp,Beraborrow,beraborrow,2025-12,5.459,473967
cdp,Beraborrow,beraborrow,2026-01,5.4483,426687
cdp,Beraborrow,beraborrow,2026-02,0.061,4052
cdp,Beraborrow,beraborrow,2026-03,0.0605,4082
cdp,Beraborrow,beraborrow,2026-04,0.0605,4611
cdp,Beraborrow,beraborrow,2026-05,0.0578,4237
cdp,Beraborrow,beraborrow,2026-06,0.0595,3483
cdp,Beraborrow,beraborrow,2026-07,0.0595,3689
cdp,Beraborrow,beraborrow,2026-08,0.0595,4643
cdp,Beraborrow,beraborrow,2026-09,0.0595,4806
cdp,BIMA CDP,bima-cdp,2024-09,0.0,0
cdp,BIMA CDP,bima-cdp,2024-10,0.0,0
cdp,BIMA CDP,bima-cdp,2024-11,0.0,0
cdp,BIMA CDP,bima-cdp,2024-12,0.0,0
cdp,BIMA CDP,bima-cdp,2025-01,0.0,0
cdp,BIMA CDP,bima-cdp,2025-02,0.0,0
cdp,BIMA CDP,bima-cdp,2025-03,0.0,0
cdp,BIMA CDP,bima-cdp,2025-04,0.0,0
cdp,BIMA CDP,bima-cdp,2025-05,0.0477,4981
cdp,BIMA CDP,bima-cdp,2025-06,56.8447,6104149
cdp,BIMA CDP,bima-cdp,2025-07,56.8447,6583496
cdp,BIMA CDP,bima-cdp,2025-08,56.8444,6138458
cdp,BIMA CDP,bima-cdp,2025-09,56.8444,6497647
cdp,BIMA CDP,bima-cdp,2025-10,56.8444,6234889
cdp,BIMA CDP,bima-cdp,2025-11,40.0474,3566730
cdp,BIMA CDP,bima-cdp,2025-12,40.0474,3509413
cdp,BIMA CDP,bima-cdp,2026-01,40.0474,3172060
cdp,BIMA CDP,bima-cdp,2026-02,44.4377,2965291
cdp,BIMA CDP,bima-cdp,2026-03,58.8109,4007476
cdp,BIMA CDP,bima-cdp,2026-04,64.0631,4895858
cdp,BIMA CDP,bima-cdp,2026-05,69.4267,5123801
cdp,BIMA CDP,bima-cdp,2026-06,105.8975,6174326
cdp,BIMA CDP,bima-cdp,2026-07,112.4661,7073194
cdp,BIMA CDP,bima-cdp,2026-08,119.378,9385832
cdp,BIMA CDP,bima-cdp,2026-09,125.8089,10220129
cdp,bitSmiley,bitsmiley,2024-09,312.6241,19863200
cdp,bitSmiley,bitsmiley,2024-10,304.7251,21406328
cdp,bitSmiley,bitsmiley,2024-11,302.7495,29122076
cdp,bitSmiley,bitsmiley,2024-12,302.6222,28202267
cdp,bitSmiley,bitsmiley,2025-01,302.1832,30952321
cdp,bitSmiley,bitsmiley,2025-02,301.8968,25430582
cdp,bitSmiley,bitsmiley,2025-03,201.8703,16647032
cdp,bitSmiley,bitsmiley,2025-04,101.7791,9586166
cdp,bitSmiley,bitsmiley,2025-05,101.5891,10606105
cdp,bitSmiley,bitsmiley,2025-06,101.5885,10888255
cdp,bitSmiley,bitsmiley,2025-07,6.4752,748157
cdp,bitSmiley,bitsmiley,2025-08,6.3696,689913
cdp,bitSmiley,bitsmiley,2025-09,5.2896,604845
cdp,bitSmiley,bitsmiley,2025-10,5.2394,574329
cdp,bitSmiley,bitsmiley,2025-11,5.129,456651
cdp,bitSmiley,bitsmiley,2025-12,5.129,447692
cdp,bitSmiley,bitsmiley,2026-01,5.129,405097
cdp,bitSmiley,bitsmiley,2026-02,5.1286,341600
cdp,bitSmiley,bitsmiley,2026-03,5.1286,348610
cdp,bitSmiley,bitsmiley,2026-04,0.1286,9817
cdp,bitSmiley,bitsmiley,2026-05,0.1286,9461
cdp,bitSmiley,bitsmiley,2026-06,0.1286,7587
cdp,bitSmiley,bitsmiley,2026-07,0.1286,8098
cdp,bitSmiley,bitsmiley,2026-08,0.1286,10103
cdp,bitSmiley,bitsmiley,2026-09,0.1286,10456
cdp,BitU,bitu-protocol,2024-09,250.9022,15985482
cdp,BitU,bitu-protocol,2024-10,250.9022,17640434
cdp,BitU,bitu-protocol,2024-11,250.9022,24236653
cdp,BitU,bitu-protocol,2024-12,250.9022,23429501
cdp,BitU,bitu-protocol,2025-01,250.9022,25625146
cdp,BitU,bitu-protocol,2025-02,250.9022,21147545
cdp,BitU,bitu-protocol,2025-03,250.9022,20742840
cdp,BitU,bitu-protocol,2025-04,250.9022,23660833
cdp,BitU,bitu-protocol,2025-05,250.9022,26270718
cdp,BitU,bitu-protocol,2025-06,250.8922,26878839
cdp,BitU,bitu-protocol,2025-07,250.8922,29158948
cdp,BitU,bitu-protocol,2025-08,250.8922,27165860
cdp,BitU,bitu-protocol,2025-09,250.8922,28580641
cdp,BitU,bitu-protocol,2025-10,250.8922,27470087
cdp,BitU,bitu-protocol,2025-11,250.8922,21942025
