horizon,source,amount,unit,who_can_access,evidence
0 same block,"gtusdc idle USDC (liquidityAdapter=0x0, so only idle is withdrawable by a plain redeem)",4555873.65,USDC,any gtusdc holder,on-chain RPC: USDC.balanceOf(gtusdc)
0 same block,Morpho bgBTC/USDC market unborrowed liquidity (supply - borrow); reachable by allocator deallocate or permissionless forceDeallocate (penalty 0.001%),4762497.37,USDC,"gtusdc allocators (Gauntlet Safe 0xae95..., bot 0xa690...) or any holder via forceDeallocate",Morpho.market(id); gtusdc.forceDeallocatePenalty(adapter)=1e13 (0.001%)
0 same block,= liquidity available to external (non-vault) gtusdc holders,9318371.03,USDC,"external holders hold $9,347,681 -> coverage 99.7%",sum of rows above vs gtusdc.totalAssets - vault shares
0 same tx (atomic),Full de-leverage of the Aera vault: withdraw gtusdc -> repay -> deallocate -> repeat (~5 loops of the $9.3M real liquidity) or Morpho flash loan; the vault owns gtusdc shares worth ~= its debt,43028967.93,USDC debt repaid,Aera guardian (Gauntlet bot 0x1A57... via Forwarder 0x58c6...) + allocator/forceDeallocate,circular funding: vault gtusdc shares $42999723.54M vs debt $43028967.93M
0 same block,"bgBTC sell-side liquidity on Morph: Native RFQ CreditVault (LP = Bitget omnibus, 99.99% of wNLP-BGBTC)",22.39999536,bgBTC,RFQ takers / liquidators,bgBTC.balanceOf(0x4df7...); wNLP-BGBTC holders
~1 hour,Aera async redemption of vault units (requestRedeem -> solved by guardian); observed 40 min on 9 Sep; depositRefundTimeout 3600 s,801.41,bgBTC NAV,only unit holder: Bitget omnibus EOA 0x9EB5...,ProvisionerV2 events / omnibus txs
1 day,"CCIP bgBTC Morph -> Ethereum: outbound bucket 65 bgBTC, refill 65 bgBTC/day (Ethereum inbound 70/day); owner EOA 0xdb25... can raise limits with no timelock (did so 29 Jul and 14 Aug)",65,bgBTC/day,anyone bridging via CCIP (Bitget omnibus in practice),BurnMintTokenPool 0xf50b... getCurrentOutboundRateLimiterState; LockReleaseTokenPool 0xa1f0... inbound
~12-13 days,Full exit of 801.7 bgBTC collateral to Ethereum at current CCIP limits (estimate: 801.7/65),801.7,bgBTC,Bitget,estimate
~2 days (7 in docs),"Morph canonical bridge withdrawal to Ethereum (USDC/ETH), per L2BEAT finalization; docs walkthrough says 7 days",,,any Morph user,raw/web/l2beat_morph.txt; raw/web/morph_docs_bridge.txt
instant (Bitget books),Bitget Earn express redemption BGBTC->BTC 1:1 for 0.1% fee (VIP discounts); backed by Bitget balance sheet / idle BGBTC 382.59 (32.32% not deployed),382.58881232,BGBTC idle,Bitget Earn users,Bitget API landingPage/statistics 21 Sep; product FAQ
T+4 (3-5 days),"Bitget Earn standard redemption, no fee",1184,BGBTC supply,Bitget Earn users,Bitget product info redeemDelayTime=4; 30 Jul article
off-chain,"BTC reserve: single P2PKH address 19pFLWW3CwjZujRWpVEMdguBMZEqPuj5nA (Chainlink PoR 1,419.9997 BTC); burn/release process off-chain",1419.9997,BTC,Bitget,mempool.space; Chainlink PoR 0xADcc914F...
