date,morph_block,btc_usd_redstone,vault_collateral_bgbtc,vault_nav_bgbtc,vault_nav_usd,vault_debt_usdc,vault_ltv_pct,gtusdc_tvl_usd,gtusdc_owned_by_vault_usd,gtusdc_external_usd,gtusdc_idle_usd,market_supply_usd,market_borrow_usd,headline_tvl_usd,net_external_capital_usd,bgbtc_supply_morph,bgbtc_supply_ethereum,bgbtc_ccip_locked_eth,por_reserves_btc,defillama_bitget_bgbtc_usd
2026-07-30,24898867,63910.17,0.0999,0.0999,6385,1273,,201293,1273,200020,199851,1443,1309,207679,206405,535.019,544.0,535.0189991,689.9998601,n/a (DefiLlama tracked ~0 BTC before 19 Aug)
2026-07-31,24918657,64744.01,60.0999,60.1009,3891175,684969,17.6,1924930,684959,1239970,1170520,754409,685005,5816039,5131079,535.019,684.0,535.0189991,689.9998601,n/a (DefiLlama tracked ~0 BTC before 19 Aug)
2026-08-07,25062172,64329.74,500.3552,500.3387,32186658,12120648,37.66,23478773,12119118,11359655,10084216,13394241,12122678,55666496,43547378,535.019,784.0,535.0189991,819.9998001,n/a (DefiLlama tracked ~0 BTC before 19 Aug)
2026-08-14,25247691,63477.36,500.6414,500.5731,31775060,13967739,43.95,26495636,13962736,12532900,11029558,15465958,13969770,58275031,44312295,535.019,784.0,535.0189991,819.9998001,n/a (DefiLlama tracked ~0 BTC before 19 Aug)
2026-08-21,25568039,73302.97,800.9813,800.861,58705487,36390119,61.98,48541351,36380334,12161017,8200136,40341103,36390154,107255655,70875320,835.019,984.0,835.0189991,1119.9997701,82583453
2026-08-28,25904271,80255.0,801.3461,801.1821,64298874,40079647,62.32,50279398,40067194,10212204,5815600,44461858,40079683,114591431,74524237,835.019,984.0,835.0189991,1119.9997701,90049872
2026-09-04,26235256,81220.66,801.6532,801.5129,65099401,40735297,62.56,49467178,40717682,8749496,4252859,45213270,40735304,114577977,73860294,835.019,1184.0,835.0189991,1419.9997401,115440179
2026-09-11,26591106,76489.39,801.0434,800.8404,61255794,38458011,62.77,48023421,38436551,9586870,5321681,42700381,38458018,109294738,70858187,835.019,1184.0,835.0189991,1419.9997401,109175990
2026-09-18,26945376,76518.72,801.4501,801.1911,61306117,38395578,62.61,48047846,38368698,9679147,5407206,42640580,38395585,109373781,71005082,835.019,1184.0,835.0189991,1419.9997401,108414965
2026-09-21 22:28,27158820,86569.29,801.7053,801.4124,69377707,43028961,62.0,52347466,42999772,9347694,4555884,47791465,43028968,121750531,78750760,835.019,1184.0,835.0189991,1419.9997401,123522660
