month,collateral_btc,debt_usd,ltv,holdings,btc_usd,nav_btc,min_health_factor,min_hf_account,liq_btc_price_est,btc_debt_btc,deployed_usd,debt_by_venue,reconstructed_net_btc,residual_vs_nav_btc,month_min_btc_close,month_min_date,hf_at_month_low_est
2024-11,0,0,,BTC-side:  | USD-side: ,96454,0.0,,,,0,0,,0.0,0.0,87286,2024-11-15,
2024-12,0,1,,BTC-side:  | USD-side: ,93450,0.0,,,,0,11,,0.0,0.0,92669,2024-12-31,
2025-01,108.87,4215415,37.81,BTC-side: morpho:WBTC 70.0; pWBTC 56.9; PT-liquidBeraBTC-10APR2025 56.1; morpho:PT-LBTC-27MAR2025 38.9; eBTC 18.6; cbBTC 3.3; LBTC 1.4; WBTC 1.2 | USD-side: USUALUSDC+ $4.22M,102412,214.17,1.463,morpho WBTC/USDT (est.),70023,30.01,4218393,morpho:USDT $4.22M,216.37,-2.2,92483,2025-01-09,1.321
2025-02,433.37,18789469,51.4,BTC-side: morpho:eBTC 189.5; morpho:WBTC 110.0; aEthWBTC 87.0; PT-corn-eBTC-27MAR2025 76.6; PT-liquidBeraBTC-10APR2025 56.1; morpho:PT-LBTC-27MAR2025 38.9; pWBTC 35.9; LBTC 27.1 | USD-side: USUALUSDC+ $18.00M; MC-USR $0.81M,84346,608.52,1.42,aave(vault),59409,30.04,18810333,morpho:USDC $14.08M; aave:USDC $4.40M; morpho:USR $0.31M,610.37,-1.85,84063,2025-02-26,1.415
2025-03,494.4,19069323,46.72,BTC-side: morpho:eBTC 296.0; morpho:WBTC 108.5; aEthLBTC 79.0; PT-liquidBeraBTC-10APR2025 56.1; LBTC 30.7; pWBTC 29.0; eBTC 12.0; aEthcbBTC 10.9 | USD-side: MC-USR $10.15M; USUALUSDC+ $5.93M; convexLP_USDC/fxUSD $3.00M,82564,624.74,1.307,aave(vault),63195,0.0,19080112,morpho:USDC $14.80M; aave:USDC $4.27M,626.56,-1.82,78543,2025-03-11,1.243
2025-04,119.0,3010880,26.86,"BTC-side: eBTC 273.8; aEthLBTC 119.0; offchain:Berachain eBTC (LZ, 26-28 Apr -> 16 May) 100.0; liquidBeraBTC 56.1; tacBTC 39.0; pWBTC 22.1; LBTC 16.7; WBTC 12.6 | USD-side: convexLP_USDC/fxUSD $3.00M",94206,638.25,2.793,aave(vault),33732,0.0,3001001,aave:USDC $3.01M,640.63,-2.38,76291,2025-04-08,2.262
2025-05,199.0,3023418,14.51,BTC-side: eBTC 236.0; aEthLBTC 199.0; tacBTC 39.0; LBTC 8.0; WBTC 6.4; cbBTC 1.1 | USD-side: USDCfxUSD $2.99M,104682,488.26,5.17,aave(vault),20247,0.0,2987384,aave:USDC $3.02M,489.63,-1.37,94311,2025-05-04,4.658
2025-06,139.0,3,,BTC-side: eBTC 210.7; offchain:Corn BTCN+LBTC (OFT 2-3 Jun -> 4-20 Nov) 150.0; aEthLBTC 139.0; tacBTC 39.0; LBTC 13.0; WBTC 2.4; cbBTC 1.1 | USD-side: ,107128,554.2,,,,0.0,42,,555.74,-1.54,100914,2025-06-23,
2025-07,139.01,3,,BTC-side: eBTC 494.8; offchain:Corn BTCN+LBTC (OFT 2-3 Jun -> 4-20 Nov) 150.0; aEthLBTC 139.0; tacBTC 39.0; LBTC 14.5; WBTC 11.3; cbBTC 1.1 | USD-side: ,115702,848.69,,,,0.0,42,,850.22,-1.53,105660,2025-07-01,
2025-08,150.05,2540862,15.65,BTC-side: ITB:aEtheBTC 150.0; offchain:Corn BTCN+LBTC (OFT 2-3 Jun -> 4-20 Nov) 150.0; eBTC 82.4; tacBTC 39.0; LBTC 14.1; WBTC 11.9; cbBTC 3.2 | USD-side: ITB:eRLUSD-1 $2.55M,108224,452.33,4.604,itb1_eBTC_aave_RLUSD,23508,0.0,2546338,ITB aave:RLUSD $2.54M,451.24,1.09,108224,2025-08-end,4.604
