month,month_end_utc,rate_btc_per_share,shares_ethereum,shares_optimism,shares_scroll,shares_total,nav_btc,btc_usd,tvl_usd,net_flow_all_chains_btc,yield_btc,tvl_change_usd,price_effect_usd,flow_effect_usd,yield_effect_usd,eth_deposits_btc,eth_withdrawals_btc,eth_net_real_flow_btc,n_deposits_eth,n_withdrawals_eth,deposits_by_asset_btc,bridge_out_from_eth_btc,bridge_in_to_eth_btc,holders_ethereum,holders_optimism
2024-11,2024-11-30 23:59,1.0,0.0,0.0,0.0,0.0,0.0,96454,0,,,,,,,0,0,0,0,0,,0,0,0,
2024-12,2024-12-31 23:59,1.0,0.001,0.0,0.0,0.001,0.001,93450,94,0.001,0.0,94,0,94,0,0.001,0,0.001,2,0,,0,0,2,
2025-01,2025-01-31 23:59,1.00777798,212.5141,0.0,0.0,212.5141,214.167,102412,21933274,213.34,0.8265,21933180,9,21848532,84640,220.127,7.42,212.707,208,11,eBTC:142.7; WBTC:57.9; LBTC:12.8; cbBTC:6.6,0,0,165,
2025-02,2025-02-28 23:59,1.01419107,600.0004,0.0,0.0,600.0004,608.515,84346,51325808,391.743,2.6054,29392534,-3869141,33041926,219752,410.299,17.696,392.603,211,23,eBTC:262.5; WBTC:126.9; LBTC:13.7; cbBTC:7.1,0,0,289,
2025-03,2025-03-31 23:59,1.01405953,615.5979,0.0,0.4848,616.0827,624.745,82564,51581409,16.31,-0.08,255601,-1084374,1346580,-6604,222.381,206.554,15.826,266,33,eBTC:143.9; WBTC:33.9; LBTC:43.7; cbBTC:0.8,0.0,0.0,404,
2025-04,2025-04-30 23:59,1.01371087,629.1298,0.0,0.4848,629.6146,638.247,94206,60126715,13.719,-0.2172,8545306,7273281,1292446,-20458,175.333,161.609,13.724,125,33,eBTC:146.9; WBTC:2.4; LBTC:25.9,0,0,406,
2025-05,2025-05-31 23:59,1.01374579,475.6841,0.0,5.9555,481.6396,488.26,104682,51112047,-150.006,0.0194,-9014668,6686276,-15702957,2031,118.99,268.964,-149.974,198,33,eBTC:90.6; WBTC:2.0; LBTC:26.3; cbBTC:0.1,5.546,0,409,
2025-06,2025-06-30 23:59,1.01368618,537.1754,0.0,9.5454,546.7209,554.203,107128,59370700,65.974,-0.0307,8258653,1194284,7067666,-3284,132.883,66.911,65.972,86,17,eBTC:124.1; WBTC:3.5; LBTC:5.3,3.639,0,367,
2025-07,2025-07-31 23:59,1.01369338,824.5154,0.0,12.7056,837.221,848.685,115702,98194597,294.477,0.005,38823897,4751737,34071625,576,463.221,168.743,294.479,100,19,eBTC:452.8; WBTC:8.9; LBTC:1.5,4.23,1.027,369,
2025-08,2025-08-31 23:59,1.01392298,429.2014,0.0,16.9139,446.1153,452.327,108224,48952591,-396.506,0.1473,-49242006,-6346466,-42911439,15944,15.989,412.45,-396.461,111,19,eBTC:10.0; WBTC:3.3; LBTC:0.5; cbBTC:2.1,9.293,5.028,384,
2025-09,2025-09-30 23:59,1.01482115,438.3315,0.0,29.3192,467.6507,474.582,114041,54121784,21.844,0.4104,5169193,2631186,2491163,46798,36.659,14.819,21.84,137,17,eBTC:11.2; WBTC:21.3; LBTC:3.9; cbBTC:0.3,15.262,2.681,397,
2025-10,2025-10-31 23:59,1.01566116,368.7355,0.0,23.4612,392.1966,398.339,109561,43642599,-76.604,0.3611,-10479185,-2125898,-8392876,39567,12.439,89.041,-76.601,91,22,eBTC:6.5; WBTC:4.5; LBTC:1.1; cbBTC:0.3,1.849,7.798,365,
2025-11,2025-11-30 23:59,1.01781919,339.4542,0.0,27.1037,366.5579,373.09,90392,33724225,-26.068,0.8187,-9918374,-7635866,-2356333,74004,33.927,62.691,-28.764,101,29,eBTC:11.1; WBTC:20.0; LBTC:2.4; cbBTC:0.4,21.827,20.843,329,
2025-12,2025-12-31 23:59,1.02050502,347.8183,0.0,32.2069,380.0252,387.818,87515,33939946,13.725,1.0026,215721,-1073296,1201148,87743,13.801,2.998,10.802,103,12,eBTC:5.4; WBTC:3.6; LBTC:4.5; cbBTC:0.3,3.664,1.393,364,
2026-01,2026-01-31 23:59,1.02239618,379.5283,0.0,33.0304,412.5587,421.798,78628,33165339,33.231,0.7495,-774607,-3446382,2612901,58928,51.132,16.96,34.171,142,17,eBTC:23.1; WBTC:24.2; LBTC:1.0; cbBTC:2.7,1.944,0.174,399,
2026-02,2026-02-28 23:59,1.02399188,388.7993,0.0,47.0849,435.8842,446.342,66995,29902532,23.867,0.6769,-3262807,-4906909,1598957,45351,23.016,6.823,16.193,126,26,eBTC:3.9; WBTC:13.5; LBTC:1.3; cbBTC:4.4,7.341,0.636,412,
2026-03,2026-03-31 23:59,1.02570971,410.5219,0.0,47.3841,457.906,469.679,68231,32046798,22.569,0.7677,2144266,551826,1539910,52380,40.697,19.22,21.477,133,24,eBTC:0.4; WBTC:40.1; LBTC:0.1; cbBTC:0.1,0.425,1.211,421,
2026-04,2026-04-30 23:59,1.02733192,162.8024,45.8708,0.199,208.8722,214.581,76287,16369658,-255.639,0.5408,-15677140,3783538,-19501806,41258,17.172,267.951,-250.779,89,32,eBTC:7.0; WBTC:2.5; LBTC:5.3; cbBTC:2.3,52.346,49.022,395,502
2026-05,2026-05-31 23:59,1.02911893,162.5271,43.4414,0.0022,205.9707,211.968,73570,15594556,-2.983,0.3707,-775102,-582970,-219485,27270,43.776,42.648,1.128,75,20,eBTC:17.5; WBTC:23.3; LBTC:0.1; cbBTC:2.8,1.629,0.224,400,543
2026-06,2026-06-30 23:59,1.03080546,131.9787,53.9766,0.0022,185.9575,191.686,58558,11224690,-20.613,0.3305,-4369866,-3182127,-1207021,19353,13.85,40.236,-26.386,79,26,eBTC:2.7; WBTC:9.5; cbBTC:1.7,5.065,0.0,388,616
2026-07,2026-07-31 23:59,1.0322854,135.1392,56.5908,0.0022,191.7321,197.922,62810,12431542,5.957,0.2795,1206852,815091,374148,17554,5.538,0.494,5.044,47,17,eBTC:0.3; WBTC:2.7; LBTC:0.1; cbBTC:2.4,1.907,0.121,391,691
2026-08,2026-08-31 23:59,1.03329422,134.152,72.6402,0.0022,206.7943,213.679,78553,16785109,15.556,0.201,4353567,3115842,1221995,15791,14.812,2.498,12.313,281,24,eBTC:0.4; WBTC:13.5; LBTC:0.8; cbBTC:0.1,13.349,0.016,399,127
2026-09-20,2026-09-20 14:00,1.03424999,133.6087,90.2843,0.0022,223.8952,231.564,81169,18795791,17.679,0.2058,2010682,558992,1434967,16706,27.666,13.553,14.114,399,23,eBTC:6.2; WBTC:21.2; LBTC:0.3,15.674,1.003,401,132
