bucket_btc,holders,holders_pct,btc,btc_pct,avg_btc
<0.001,12493,33.25,4.1842,0.06,0.00033
0.001-0.01,11015,29.32,43.3348,0.67,0.00393
0.01-0.1,9698,25.81,341.7693,5.29,0.03524
0.1-1,3557,9.47,1010.6864,15.65,0.28414
1-10,724,1.93,1655.8757,25.64,2.28712
10-100,77,0.2,1804.1261,27.94,23.43021
>100,8,0.02,1597.2459,24.74,199.65574

# snapshot 2026-09-20 12:00 UTC, Ink block 56407189; BTC-equivalent = shares x accountant rate 1.00462850; excludes withdraw queue (35.25 BTC pending) 
# date,2026-09-20 12:00 UTC (Ink block 56,407,189)
# holders,37572
# btc_total,6457.222441801557
# queue_pending_btc,35.253005961973344
# rate,1.0046285
# top1_pct,5.458581125210046
# top10_pct,26.659643916707076
# top100_pct,54.720385697402655
# top1000_pct,80.82517262387304
# hhi,104.37167479656955
# median_btc,0.0037194310724074997
# mean_btc,0.1718626222133918
# top1_btc,352.472725421007
