date,btc_usd,RLUSD-1_coll_kbtc,RLUSD-1_debt_musd,RLUSD-1_ltv,RLUSD-1_hf,RLUSD-1_liq_px,RLUSD-1_drop_to_liq_pct,RLUSD-2_coll_kbtc,RLUSD-2_debt_musd,RLUSD-2_ltv,RLUSD-2_hf,RLUSD-2_liq_px,RLUSD-2_drop_to_liq_pct,PYUSD-1_coll_kbtc,PYUSD-1_debt_musd,PYUSD-1_ltv,PYUSD-1_hf,PYUSD-1_liq_px,PYUSD-1_drop_to_liq_pct,PYUSD-2_coll_kbtc,PYUSD-2_debt_musd,PYUSD-2_ltv,PYUSD-2_hf,PYUSD-2_liq_px,PYUSD-2_drop_to_liq_pct,kbtc_total_ltv,aave_wbtc,aave_usdt_debt_musd,aave_hf,aave_liq_px,morpho_wbtc_usdt_ltv,morpho_wbtc_usdt_debt_musd
2026-05-25,76790,67.95,3.7,71.0,1.211,63397,17.4,0.0,0.0,,,,,7.77,0.43,71.78,1.198,64104,16.5,0.0,0.0,,,,,71.08,0.0,0.0,,,,0.0
2026-06-01,73651,504.15,26.41,71.11,1.209,60911,17.3,0.0,0.0,,,,,438.77,22.88,70.81,1.214,60645,17.7,35.0,1.82,70.61,1.218,60470,17.9,70.96,0.0,0.0,,,,0.0
2026-06-08,63147,804.15,33.73,66.42,1.295,48779,22.8,200.0,3.73,29.56,2.909,21707,65.6,728.77,30.56,66.39,1.295,48763,22.8,165.0,5.5,52.73,1.631,38728,38.7,61.34,0.0,0.0,,,,0.0
2026-06-15,65656,1251.15,56.48,68.76,1.251,52494,20.0,350.04,13.52,58.83,1.462,44910,31.6,968.77,42.58,66.95,1.284,51111,22.1,465.08,19.11,62.59,1.374,47783,27.2,66.09,0.0,0.0,,,,0.0
2026-06-22,63352,1351.52,60.06,70.14,1.226,51674,18.4,380.25,13.52,56.14,1.532,41357,34.7,1079.02,49.31,72.14,1.192,53133,16.1,495.37,19.12,60.92,1.412,44872,29.2,67.8,0.0,0.0,,,,0.0
2026-06-29,59486,1662.38,70.31,71.09,1.21,49179,17.3,420.44,13.53,54.09,1.59,37415,37.1,1079.49,46.74,72.79,1.181,50352,15.4,565.68,23.07,68.55,1.255,47417,20.3,69.28,0.0,0.0,,,,0.0
2026-07-06,63617,1663.07,65.04,61.47,1.399,45478,28.5,500.57,20.81,65.34,1.316,48342,24.0,1179.91,50.46,67.22,1.279,49731,21.8,615.92,25.37,64.73,1.329,47887,24.7,64.18,40.55,1.57,1.283,49593,,0.0
2026-07-13,63743,1963.73,88.13,70.4,1.222,52184,18.1,500.83,20.82,65.22,1.319,48344,24.2,1220.25,55.27,71.05,1.21,52672,17.4,616.27,25.38,64.6,1.331,47888,24.9,69.15,161.55,1.57,5.114,12465,,0.0
2026-07-20,64610,2024.53,92.6,70.8,1.215,53183,17.7,661.05,30.32,70.99,1.211,53329,17.5,1220.56,55.31,70.13,1.226,52689,18.5,616.55,25.39,63.74,1.349,47893,25.9,69.68,200.59,8.09,1.25,51694,,0.0
2026-07-27,65312,2025.35,92.65,70.05,1.228,53191,18.5,715.32,33.11,70.88,1.213,53814,17.6,1220.85,55.34,69.4,1.239,52708,19.3,676.77,31.12,70.41,1.221,53474,18.1,70.06,250.69,8.09,1.579,41356,,0.0
2026-08-03,63456,2026.06,92.71,72.12,1.192,53210,16.1,715.67,33.13,72.95,1.179,53826,15.2,1221.25,55.37,71.44,1.204,52721,16.9,737.17,33.82,72.28,1.19,53340,16.0,72.09,346.52,8.1,2.121,29915,,0.0
2026-08-10,65048,2126.94,97.89,70.75,1.216,53518,17.7,806.08,36.94,70.43,1.221,53280,18.1,1221.77,55.4,69.71,1.234,52730,18.9,737.52,33.84,70.53,1.219,53346,18.0,70.4,346.56,14.19,1.238,52550,,0.0
2026-08-17,62874,2127.82,97.94,73.21,1.175,53523,14.9,926.65,42.41,72.8,1.181,53222,15.4,1080.19,49.0,72.14,1.192,52744,16.1,805.89,36.54,72.1,1.193,52716,16.2,72.72,346.75,14.2,1.199,52455,,0.0
2026-08-24,77561,2128.6,98.02,59.38,1.448,53547,31.0,926.88,42.45,59.05,1.456,53252,31.3,900.44,49.03,70.21,1.225,63320,18.4,923.12,41.56,58.05,1.481,52356,32.5,61.07,346.75,17.36,1.207,64252,,0.0
2026-08-31,77487,2184.88,110.78,65.46,1.314,58957,23.9,927.08,42.47,59.14,1.454,53269,31.2,900.67,49.07,70.3,1.223,63347,18.3,923.28,41.59,58.13,1.479,52383,32.4,63.79,346.75,17.66,1.187,65262,,0.0
2026-09-07,80302,2185.7,110.84,63.15,1.362,58968,26.6,927.44,50.96,68.42,1.257,63887,20.4,851.91,45.64,66.72,1.289,62294,22.4,923.43,41.62,56.13,1.532,52410,34.7,63.45,346.82,17.67,1.229,65351,,0.0
2026-09-14,76800,2461.41,124.77,66.0,1.303,58943,23.3,927.77,50.99,71.56,1.202,63907,16.8,852.17,45.67,69.77,1.233,62313,18.9,923.74,41.65,58.7,1.465,52425,31.7,66.32,346.94,17.69,1.173,65449,,0.0
2026-09-21,81198,2462.23,124.83,62.44,1.377,58953,27.4,928.14,51.02,67.69,1.27,63914,21.3,1081.32,60.82,69.27,1.241,65404,19.4,923.86,41.69,55.57,1.548,52468,35.4,63.54,347.1,17.7,1.242,65381,71.06,5.19
2026-09-20 12:00 (snapshot),80276,2462.11,124.83,63.16,1.362,58956,26.6,928.14,51.02,68.47,1.256,63914,20.4,1081.3,60.82,70.06,1.227,65401,18.5,923.86,41.68,56.2,1.53,52465,34.6,64.26,347.1,17.7,1.228,65381,31.05,2.24
2026-09-21 22:33 (live),86573,2462.34,138.9,65.16,1.32,65594,24.2,928.19,51.03,63.5,1.354,63924,26.2,1081.35,60.83,64.98,1.323,65408,24.4,923.86,41.69,52.13,1.65,52473,39.4,62.61,347.1,17.7,1.323,65416,66.68,5.19
# Monday 00:00 UTC archive reads (Ethereum). LTV = debt / (collateral x Morpho oracle price); HF = 0.86/LTV; liq_px = BTC price at which LTV hits LLTV 86%.
# Target HF 1.2113 => target LTV 71.00%. Aave leg: WBTC collateral vs USDT variable debt, liquidation threshold 78%, liq_px = BTC/HF.
