week,tvl_btc_end,btc_usd_end,tvl_usd_end_m,holders_end,new_depositors,deposit_txs,deposits_btc,withdrawals_btc,withdraw_requests_btc,net_flow_btc,yield_btc,d_tvl_usd_m,flow_effect_usd_m,price_effect_usd_m,yield_effect_usd_m,avg_deposit_btc
2026-04-06,1.5,70728,0.11,5,5,8,1.5,0.0,0.0,1.5,0.0,0.11,0.11,-0.0,0.0,0.1875
2026-04-13,2.44,73911,0.18,9,7,18,0.95,0.01,0.01,0.94,0.0,0.07,0.07,0.0,0.0,0.0527
2026-04-20,2.44,78845,0.19,12,4,31,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0002
2026-04-27,2.84,78646,0.22,18,7,52,0.4,0.0,0.0,0.4,0.0,0.03,0.03,-0.0,0.0,0.0076
2026-05-04,2.83,82451,0.23,17,1,10,0.02,0.02,0.02,-0.0,0.0,0.01,-0.0,0.01,0.0,0.0018
2026-05-11,2.83,77171,0.22,18,1,11,0.01,0.01,0.01,-0.0,0.0,-0.01,-0.0,-0.01,0.0,0.0011
2026-05-18,104.88,76790,8.05,1963,2001,2205,102.13,0.08,6.6,102.05,0.002,7.84,7.84,-0.0,0.0,0.0463
2026-05-25,1338.5,73651,98.58,10575,8935,10612,1257.2,23.8,41.9,1233.4,0.222,90.53,90.84,-0.33,0.016,0.1185
2026-06-01,2695.2,63147,170.19,16159,6234,10637,1404.22,47.97,117.52,1356.25,0.448,71.61,85.64,-14.06,0.028,0.132
2026-06-08,3351.46,65656,220.04,18590,2948,5537,760.79,105.77,87.56,655.02,1.232,49.85,43.01,6.76,0.081,0.1374
2026-06-15,3614.61,63352,228.99,20523,2492,5048,361.92,100.18,62.01,261.74,1.409,8.95,16.58,-7.72,0.089,0.0717
2026-06-22,4175.02,59486,248.35,23578,3582,7381,641.86,82.9,71.85,558.96,1.459,19.36,33.25,-13.97,0.087,0.087
2026-06-29,4517.67,63617,287.4,26345,3528,7177,408.28,66.76,98.57,341.52,1.126,39.05,21.73,17.25,0.072,0.0569
2026-07-06,4706.44,63743,300.0,27862,2161,4677,375.46,187.98,187.17,187.48,1.294,12.6,11.95,0.57,0.082,0.0803
2026-07-13,4881.42,64610,315.39,29113,1826,4214,260.69,86.99,38.92,173.7,1.27,15.38,11.22,4.08,0.082,0.0619
2026-07-20,5349.77,65312,349.4,30388,1841,4181,531.59,64.58,65.34,467.01,1.341,34.01,30.5,3.42,0.088,0.1271
2026-07-27,5545.86,63456,351.92,31554,1714,4379,264.6,69.86,154.72,194.75,1.339,2.51,12.36,-9.93,0.085,0.0604
2026-08-03,5753.84,65048,374.28,32792,1709,4178,327.92,121.59,75.81,206.33,1.654,22.36,13.42,8.83,0.108,0.0785
2026-08-10,5821.82,62874,366.04,33796,1553,4124,187.0,120.87,112.34,66.13,1.856,-8.23,4.16,-12.51,0.117,0.0453
2026-08-17,5980.59,77561,463.86,34606,2181,5026,351.08,193.51,257.19,157.57,1.196,97.82,12.22,85.5,0.093,0.0699
2026-08-24,5922.76,77487,458.93,35377,1783,4129,201.14,260.04,172.68,-58.89,1.062,-4.93,-4.56,-0.44,0.082,0.0487
2026-08-31,6230.97,80302,500.36,36322,1626,4083,383.45,76.49,86.61,306.97,1.246,41.42,24.65,16.67,0.1,0.0939
2026-09-07,6278.64,76800,482.2,36955,1232,3413,103.27,56.9,54.55,46.37,1.299,-18.16,3.56,-21.82,0.1,0.0303
2026-09-14,6499.27,81198,527.73,37626,1405,3755,277.43,57.99,68.26,219.44,1.191,45.53,17.82,27.61,0.097,0.0739
# week = Monday 00:00 UTC to next Monday; values at week end. TVL BTC = Ink share supply x accountant rate (all shares live on Ink; Ethereum supply 0).
# USD at Chainlink BTC/USD (Ethereum) end of week. deposits = mints x rate at mint; withdrawals = burns by the solver x rate at burn; requests = transfers into the BoringOnChainQueue.
# d_tvl_usd = flow_effect (net flow BTC x end price) + price_effect (start BTC TVL x change in BTC price) + yield_effect (BTC growth from the exchange rate x end price).
# holders = addresses with non-zero balance (excl. queue/solver/zero). new_depositors = first-ever mint to that address.
