week,realized_net_apy,borrow_rlusd,borrow_pyusd,depl_rlusd_total,depl_rlusd_organic,depl_pyusd_total,depl_pyusd_organic,prime,weighted_spread,organic_spread,borrow_aave_usdt,borrow_morpho_wbtc_usdt,depl_prime_main_total,depl_prime_main_organic,depl_pst_total,depl_pst_organic,debt_A_RLUSD_musd,debt_B_RLUSD_musd,debt_A_PYUSD_musd,debt_B_PYUSD_musd,debt_C_AAVE_musd,debt_D_WBTCUSDT_musd,debt_to_nav,model_gross_on_nav,model_net_on_nav,model_net_no_rewards
2026-04-20,0.1,2.92,1.23,6.62,2.92,6.76,2.16,,,,13.16,5.23,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2026-04-27,0.03,2.92,1.23,5.51,1.81,5.37,1.41,,,,5.64,4.16,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2026-05-04,0.03,2.92,1.01,5.48,1.98,5.0,1.25,7.42,,,4.62,4.23,,,,,0.0,0.0,0.03,0.0,0.0,0.0,,0.0,0.0,0.0
2026-05-11,0.01,2.92,0.7,5.25,1.83,5.28,2.1,8.63,4.58,1.41,3.86,3.53,,,,,0.0,0.0,0.11,0.0,0.0,0.0,0.477,2.18,1.75,0.54
2026-05-18,0.28,2.16,0.58,4.99,1.77,5.22,1.88,6.74,3.08,-0.16,3.68,3.51,9.14,2.14,,,1.85,0.0,0.3,0.0,0.0,0.0,0.518,1.59,1.27,-0.07
2026-05-25,1.16,1.79,0.56,4.98,1.64,5.06,1.66,6.1,3.82,0.56,3.52,4.62,7.88,2.38,,,15.06,0.0,11.66,0.91,0.0,0.0,0.509,1.95,1.56,0.23
2026-06-01,1.15,1.59,0.53,5.47,1.77,5.08,1.62,5.85,4.26,0.99,3.68,6.13,7.58,2.94,,,30.07,1.87,26.72,3.66,0.0,0.0,0.452,1.92,1.54,0.36
2026-06-08,2.16,1.39,0.56,5.7,1.79,4.98,1.45,5.85,4.48,1.5,3.59,6.3,8.16,3.96,,,45.11,8.63,36.57,12.3,0.0,0.0,0.527,2.36,1.89,0.63
2026-06-15,2.04,1.4,1.37,5.61,1.65,4.86,1.67,6.33,4.15,1.39,3.28,4.0,6.27,3.18,,,58.27,13.52,45.94,19.11,0.0,0.0,0.609,2.53,2.02,0.68
2026-06-22,1.97,1.82,2.03,5.72,1.83,5.12,1.98,6.33,3.75,1.01,3.26,3.51,6.26,2.97,,,65.18,13.53,48.03,21.09,0.0,0.0,0.618,2.31,1.85,0.5
2026-06-29,1.34,2.79,2.76,6.32,2.33,5.4,2.2,5.92,3.15,0.45,3.52,3.89,6.63,3.22,,,67.68,17.17,48.6,24.22,0.79,0.0,0.592,1.87,1.49,0.22
2026-07-06,1.47,2.98,3.07,6.18,2.41,5.08,2.01,7.87,3.27,0.69,3.86,4.29,6.77,3.37,,,76.59,20.82,52.87,25.37,1.57,0.0,0.603,1.97,1.58,0.33
2026-07-13,1.39,3.04,3.01,6.11,2.54,4.89,1.91,7.34,3.06,0.56,3.59,3.53,6.62,3.63,,,90.36,25.57,55.29,25.39,4.83,0.0,0.655,2.0,1.6,0.3
2026-07-20,1.37,3.02,3.17,6.22,2.59,4.97,1.9,6.76,2.95,0.5,3.71,4.16,6.24,3.44,,,92.62,31.71,55.32,28.26,8.09,0.0,0.65,1.91,1.53,0.26
2026-07-27,1.28,3.71,3.14,6.71,2.9,5.64,2.09,6.96,3.05,0.47,3.68,3.61,7.11,4.41,,,92.68,33.12,55.36,32.47,8.1,0.0,0.632,1.93,1.54,0.24
2026-08-03,1.53,3.12,3.02,6.25,2.55,6.06,2.0,7.0,3.34,0.7,3.71,4.27,6.66,4.05,,,95.3,35.03,55.39,33.83,11.14,0.0,0.635,2.12,1.7,0.36
2026-08-10,1.72,3.29,3.46,6.22,2.64,6.01,2.34,6.85,3.0,0.59,3.76,3.52,6.5,3.94,,,97.92,39.67,52.2,35.19,14.19,0.0,0.646,1.94,1.55,0.3
2026-08-17,1.06,3.78,3.99,6.77,3.18,5.78,2.5,6.41,2.55,0.3,3.92,3.83,6.17,3.8,,,97.98,42.43,49.02,39.05,15.78,0.0,0.589,1.5,1.2,0.14
2026-08-24,0.94,3.33,3.66,6.28,2.77,5.57,2.59,5.68,2.41,0.24,4.33,3.45,6.06,3.74,,,104.4,42.46,49.05,41.58,17.51,0.0,0.553,1.33,1.0,0.1
