date,btc,usd,source
2025 (undated),1500,180000000,"DISCLOSED: Maple page btc-yield-now-live (search snippet; page now 404) ""More than 1,500 BTC has been deposited, totalling $180M"" https://maple.finance/insights/btc-yield-now-live"
2025-02-01,0.0,0,"BTC STAKED ON CORE - ON-CHAIN RECONSTRUCTION (estimate/attribution): BTC in active CLTV stakes on Core for 5 CORE reward addresses linked by shared BTC owner scripts (scripts/cluster_link.py, maple_cluster_series.py); Core BitcoinStake 0x...1014 events via rpc.coredao.org; Maple share of Core BTC staked (events-based) = 0.0%"
2025-02-15,81.5,7952643,"BTC STAKED ON CORE - ON-CHAIN RECONSTRUCTION (estimate/attribution): BTC in active CLTV stakes on Core for 5 CORE reward addresses linked by shared BTC owner scripts (scripts/cluster_link.py, maple_cluster_series.py); Core BitcoinStake 0x...1014 events via rpc.coredao.org; Maple share of Core BTC staked (events-based) = 1.4%"
2025-03-01,155.65,13395508,"BTC STAKED ON CORE - ON-CHAIN RECONSTRUCTION (estimate/attribution): BTC in active CLTV stakes on Core for 5 CORE reward addresses linked by shared BTC owner scripts (scripts/cluster_link.py, maple_cluster_series.py); Core BitcoinStake 0x...1014 events via rpc.coredao.org; Maple share of Core BTC staked (events-based) = 2.9%"
2025-03-15,265.94,22428693,"BTC STAKED ON CORE - ON-CHAIN RECONSTRUCTION (estimate/attribution): BTC in active CLTV stakes on Core for 5 CORE reward addresses linked by shared BTC owner scripts (scripts/cluster_link.py, maple_cluster_series.py); Core BitcoinStake 0x...1014 events via rpc.coredao.org; Maple share of Core BTC staked (events-based) = 4.5%"
2025-04-01,475.93,40531293,"BTC STAKED ON CORE - ON-CHAIN RECONSTRUCTION (estimate/attribution): BTC in active CLTV stakes on Core for 5 CORE reward addresses linked by shared BTC owner scripts (scripts/cluster_link.py, maple_cluster_series.py); Core BitcoinStake 0x...1014 events via rpc.coredao.org; Maple share of Core BTC staked (events-based) = 8.8%"
2025-04-15,893.37,74726648,"BTC STAKED ON CORE - ON-CHAIN RECONSTRUCTION (estimate/attribution): BTC in active CLTV stakes on Core for 5 CORE reward addresses linked by shared BTC owner scripts (scripts/cluster_link.py, maple_cluster_series.py); Core BitcoinStake 0x...1014 events via rpc.coredao.org; Maple share of Core BTC staked (events-based) = 17.5%"
2025-04-30,1600,150665440,"DISCLOSED: Maple X post 2025-04-30 ""1600+ of Maple BTC staked to @Coredao_Org"" https://x.com/maplefinance/status/1917628219223859367 (USD = BTC x Bybit close; derived)"
2025-05-01,1570.12,151480938,"BTC STAKED ON CORE - ON-CHAIN RECONSTRUCTION (estimate/attribution): BTC in active CLTV stakes on Core for 5 CORE reward addresses linked by shared BTC owner scripts (scripts/cluster_link.py, maple_cluster_series.py); Core BitcoinStake 0x...1014 events via rpc.coredao.org; Maple share of Core BTC staked (events-based) = 24.5%"
2025-05-02,1600,155002080,"DISCLOSED: Core blog 2025-05-02 ""surpassed 1,600 BTC in deposits"" https://coredao.org/blog/maple-core-bitcoin-yield-product (USD derived)"
2025-05-14,1757.85,181941694,"BTC STAKED ON CORE - ON-CHAIN RECONSTRUCTION (estimate/attribution): BTC in active CLTV stakes on Core for 5 CORE reward addresses linked by shared BTC owner scripts (scripts/cluster_link.py, maple_cluster_series.py); Core BitcoinStake 0x...1014 events via rpc.coredao.org; Maple share of Core BTC staked (events-based) = 24.0%"
2025-05-15,1643.34,170511644,"BTC STAKED ON CORE - ON-CHAIN RECONSTRUCTION (estimate/attribution): BTC in active CLTV stakes on Core for 5 CORE reward addresses linked by shared BTC owner scripts (scripts/cluster_link.py, maple_cluster_series.py); Core BitcoinStake 0x...1014 events via rpc.coredao.org; Maple share of Core BTC staked (events-based) = 23.0%"
