month,chain,supply,nav,tvl_btc,tvl_usd,share_of_supply,net_flow_btc,nav_effect_btc,as_of
2025-10,ethereum,0.0002,1,0.0002,20.0,1.0,,,2025-10-31T23:00:00.000Z
2025-10,total,0.0002,1,0.0002,20.0,1.0,,,2025-10-31T23:00:00.000Z
2025-11,ethereum,25.0002,1.00044715,25.0114,2283288.0,1.0,,,2025-11-30T23:00:00.000Z
2025-11,total,25.0002,1.00044715,25.0114,2283288.0,1.0,25.0112,0.0,2025-11-30T23:00:00.000Z
2025-12,ethereum,202.4202,1.00449024,203.3291,17813255.0,1.0,,,2025-12-31T23:00:00.000Z
2025-12,total,202.4202,1.00449024,203.3291,17813255.0,1.0,178.2167,0.1011,2025-12-31T23:00:00.000Z
2026-01,ethereum,499.9968,1.00822951,504.1115,39305065.0,0.9786,,,2026-01-31T23:00:00.000Z
2026-01,rootstock,10.9102,1.00822951,11.0,857660.0,0.0214,,,2026-01-31T23:00:00.000Z
2026-01,total,510.907,1.00822951,515.1115,40162725.0,1.0,311.0255,0.7569,2026-01-31T23:00:00.000Z
2026-02,ethereum,530.0915,1.01172471,536.3067,36177002.0,0.9798,,,2026-02-28T23:00:00.000Z
2026-02,rootstock,10.9103,1.01172471,11.0383,744595.0,0.0202,,,2026-02-28T23:00:00.000Z
2026-02,total,541.0019,1.01172471,547.345,36921597.0,1.0,30.4477,1.7857,2026-02-28T23:00:00.000Z
2026-03,ethereum,482.3857,1.01462175,489.439,33248328.0,0.8505,,,2026-03-31T23:00:00.000Z
2026-03,monad,57.0743,1.01462175,57.9088,3933835.0,0.1006,,,2026-03-31T23:00:00.000Z
2026-03,rootstock,27.7056,1.01462175,28.1107,1909601.0,0.0488,,,2026-03-31T23:00:00.000Z
2026-03,total,567.1656,1.01462175,575.4585,39091765.0,1.0,26.5462,1.5673,2026-03-31T23:00:00.000Z
2026-04,ethereum,297.5635,1.01827759,303.0023,23003325.0,0.7735,,,2026-04-29T23:00:01.000Z
2026-04,monad,62.0581,1.01827759,63.1924,4797440.0,0.1613,,,2026-04-29T23:00:01.000Z
2026-04,rootstock,25.0593,1.01827759,25.5173,1937221.0,0.0651,,,2026-04-29T23:00:01.000Z
2026-04,total,384.6809,1.01827759,391.7119,29737986.0,1.0,-185.8201,2.0735,2026-04-29T23:00:01.000Z
2026-05,ethereum,293.5219,1.0207129,299.6016,22063604.0,0.8054,,,2026-05-31T23:00:00.000Z
2026-05,monad,57.0743,1.0207129,58.2565,4290193.0,0.1566,,,2026-05-31T23:00:00.000Z
2026-05,rootstock,13.8655,1.0207129,14.1527,1042252.0,0.038,,,2026-05-31T23:00:00.000Z
2026-05,total,364.4617,1.0207129,372.0108,27396049.0,1.0,-20.6379,0.9368,2026-05-31T23:00:00.000Z
2026-06,ethereum,288.4552,1.02263387,294.9841,17786660.0,0.8031,,,2026-06-29T23:00:03.000Z
2026-06,monad,57.0744,1.02263387,58.3662,3519307.0,0.1589,,,2026-06-29T23:00:03.000Z
2026-06,rootstock,13.6416,1.02263387,13.9503,841163.0,0.038,,,2026-06-29T23:00:03.000Z
2026-06,total,359.1711,1.02263387,367.3006,22147129.0,1.0,-5.4104,0.7001,2026-06-29T23:00:03.000Z
2026-07,ethereum,288.0245,1.02321338,294.7105,19108441.0,0.8161,,,2026-07-30T23:00:01.000Z
2026-07,monad,57.0734,1.02321338,58.3983,3786426.0,0.1617,,,2026-07-30T23:00:01.000Z
2026-07,rootstock,7.8497,1.02321338,8.0319,520771.0,0.0222,,,2026-07-30T23:00:01.000Z
2026-07,total,352.9475,1.02321338,361.1406,23415638.0,1.0,-6.3681,0.2081,2026-07-30T23:00:01.000Z
2026-08,ethereum,286.1087,1.02517989,293.3129,23069995.0,0.8241,,,2026-08-31T23:00:00.000Z
2026-08,monad,57.0735,1.02517989,58.5106,4602044.0,0.1644,,,2026-08-31T23:00:00.000Z
2026-08,rootstock,3.9805,1.02517989,4.0807,320962.0,0.0115,,,2026-08-31T23:00:00.000Z
2026-08,total,347.1627,1.02517989,355.9042,27993002.0,1.0,-5.9305,0.6941,2026-08-31T23:00:00.000Z
2026-09,ethereum,284.0654,1.02606813,291.4705,25233529.0,0.8231,,,2026-09-21T23:00:01.000Z
2026-09,monad,57.0735,1.02606813,58.5613,5069837.0,0.1654,,,2026-09-21T23:00:01.000Z
2026-09,rootstock,3.9805,1.02606813,4.0843,353588.0,0.0115,,,2026-09-21T23:00:01.000Z
2026-09,total,345.1194,1.02606813,354.116,30656953.0,1.0,-2.0965,0.3084,2026-09-21T23:00:01.000Z
