venue,chain,address,kind,btc_collateral,collateral_usd,debt_usd,borrowed,identified_as,fits_definition
aave-eth-core,1,0x7CD0B7Ed790F626ef1BD42Db63B5EBEb5970c912,EOA,5220.0208,451923469,191394965,USDC,EOA,N (EOA)
aave-eth-core,1,0xABdbBd00Fad79b257e7313B398A1Ea10d9EEf8D6,EOA,7204.7681,623676111,177643903,USDC+USDG,EOA,N (EOA)
Morpho Blue cbBTC/USDC,Ethereum,0xbCd16D361adf5E7e0dc0010756B49666b4f38eE0,EOA,4674.7199,404708547,172889294,USDC,EOA,N (EOA)
Morpho Blue kBTC/RLUSD,Ethereum,0x0774b5B15B0CEe5E2e14814CCF4d4611fF78CcF5,contract,2462.3419,213413835,138912523,RLUSD,Kraken Bitcoin Vault - LoanManager (owner BoringVault 0x7dee...19b2),Y
spark-eth,1,0xb99a2c4C1C4F1fc27150681B740396F6CE1cBcF5,EOA,879.9973,261342889,134214936,USDS,EOA,N (EOA)
spark-eth,1,0x28355886A65848488Cf0A3646fca395DB0A762B1,EOA,1518.9914,167240899,111899009,USDS+PYUSD,EOA,N (EOA)
aave-eth-core,1,0xe40d278afD00E6187Db21ff8C96D572359Ef03bf,contract,1269.324,214648284,96342731,USDC+EURC,"Safe 2/5 multi-asset treasury/fund (33.4k aWETH + 1,849 cbBTC); no share token",N
Morpho Blue kBTC/PYUSD,Ethereum,0xd18DF3c05D2D11BDeDBd9F7501f651e43b9bd986,contract,1081.3505,93721819,60828674,PYUSD,Kraken Bitcoin Vault - LoanManager,Y
Morpho Blue kBTC/RLUSD,Ethereum,0x7fB9f8F775e3Ff458ce5D9d146f36e9e4639205E,contract,928.1909,80447306,51030534,RLUSD,Kraken Bitcoin Vault - LoanManager,Y
Morpho Blue kBTC/PYUSD,Ethereum,0x1E8f4752209A50eFE5b6126f5c534dC7018d9489,contract,923.86,80071951,41692025,PYUSD,Kraken Bitcoin Vault - LoanManager,Y
spark-eth,1,0xB561B1e79E448bC3A7aC4Dc377EeECBc99505f60,EOA,1031.5418,89303853,40015376,USDS,EOA,N (EOA)
Compound v3 cUSDCv3 (WBTC),Ethereum,0x4093f559f38c4c87c280d64c85396f649c0d9987,contract,900.6,0,39730000,USDC,Safe 4/8 treasury (900.6 WBTC + ~20k wstETH on Compound); no share token,N
Compound v3 cUSDCv3 (WBTC),Ethereum,0x7ba7f4773fa7890bad57879f0a1faa0edffb3520,EOA,641.65,0,37750000,USDC,EOA,N (EOA)
Morpho Blue cbBTC/USDC,Ethereum,0x56eCBF8844bD7a64dc661EC41D52005D4E224adc,EOA,989.0,85621547,37452995,USDC,EOA,N (EOA)
aave-eth-core,1,0x0a0FA2B02aE73bD9eb4c1E086458099ECA42476e,EOA,1054.4016,133247760,37267871,USDT,EOA,N (EOA)
aave-eth-core,1,0x26a58aF72eff53dDAa064A9DF86E8eC3184bEE95,EOA,735.807,64857901,32931992,USDC+USDT,EOA,N (EOA)
spark-eth,1,0xb213531aA8113F455C626a305fEaEf82da605e08,EOA,1064.822,92185026,31134597,USDT,EOA,N (EOA)
Morpho Blue kBTC/PYUSD,Ethereum,0x28355886A65848488Cf0A3646fca395DB0A762B1,EOA,510.001,44202339,31095791,PYUSD,EOA,N (EOA)
spark-eth,1,0xD48573cDA0fed7144f2455c5270FFa16Be389d04,EOA,622.6,53900480,30098194,USDS,EOA,N (EOA)
aave-eth-core,1,0x6b2563826Bc176fDa2099C47567F447fC32cC5B7,EOA,618.7,54060633,28196120,USDT,EOA,N (EOA)
spark-eth,1,0x219dE81f5d9b30f4759459C81c3CF47AbaA0dED1,EOA,729.095,63120076,27033277,USDS,EOA,N (EOA)
aave-eth-core,1,0x834BD54EAe7EDD442637375b9be9BA2a9AD28389,EOA,731.0444,64047817,26376802,USDC,EOA,N (EOA)
aave-eth-core,1,0x44e8c2451e916C87ddE3977DC80F6fB8a1E33B1D,EOA,500.9069,65923955,25788163,USDC+USDT,EOA,N (EOA)
spark-eth,1,0xe40d278afD00E6187Db21ff8C96D572359Ef03bf,contract,580.0007,50212519,25346227,USDT+USDS,"Safe 2/5 multi-asset treasury/fund (33.4k aWETH + 1,849 cbBTC); no share token",N
aave-eth-core,1,0xF50623b782FB0C7CD3966b20F6EcB7D791a36ec6,EOA,560.0,48482057,25053545,USDC,EOA,N (EOA)
spark-eth,1,0xF50623b782FB0C7CD3966b20F6EcB7D791a36ec6,EOA,530.0,45883798,25046083,USDS,EOA,N (EOA)
Compound v3 cUSDCv3 (WBTC),Ethereum,0xa3d843b6a057504284006bef6f34a2e9bc80fb6b,EOA,344.68,0,24620000,USDC,EOA,N (EOA)
aave-eth-core,1,0x25D2477f89FB29f6956C45D4dFda9D29eb187f4E,EIP7702-EOA(delegate 0x63c0c19a282a1b52b07dd5a65b58948a07dae32b),628.1122,54358606,23982573,USDT,EIP-7702 delegated EOA,N (EOA)
aave-eth-core,1,0x9d8f9295268674332A108eD7D2f537413FC8b9Ea,EOA,722.1782,62818831,23716594,USDT,EOA,N (EOA)
aave-eth-core,1,0xd71f4423e097888aF07E2CEac0E71b9a43f64A1f,EOA,400.0091,51920418,21927522,USDC+USDT,EOA,N (EOA)
Compound v3 cUSDCv3 (WBTC),Ethereum,0xda1d41fbc625282eb09744efc8da1a66a494a298,EOA,400.56,0,21510000,USDC,EOA,N (EOA)
aave-eth-core,1,0x7546966122E636A601a3eA4497d3509F160771d8,EOA,487.359,42946879,21333031,USDC+USDT,EOA,N (EOA)
spark-eth,1,0xb5C98c0D2861D39C538Aff4e87CEE946ffa1Adf4,EOA,209.5308,42843030,20765025,USDT+USDS,EOA,N (EOA)
Morpho Blue cbBTC/USDC,Ethereum,0x5130985cE6A0e54f369712Cd6f2fDEC084026E54,EOA,671.0201,58092802,20504651,USDC,EOA,N (EOA)
spark-eth,1,0xC6877a65349B0fA45cC61a267eE682c7AbF2B369,EOA,239.0788,31228094,20056951,USDS+PYUSD,EOA,N (EOA)
aave-eth-core,1,0x3B94E9Fa105551B700E4965Bf13dB3153Bb26557,EOA,387.9206,64344908,19902042,USDC+USDT,EOA,N (EOA)
aave-eth-core,1,0x8328446602CB4c3b2b4A25BECa6488E947B6f54a,EIP7702-EOA(delegate 0x0000fb7702036ff9f76044a501ac1aa74cbab16b),409.7248,35608703,18893553,USDC,EIP-7702 delegated EOA,N (EOA)
aave-eth-core,1,0xFa5484533aCF47bc9F5d9Dc931FcdbbdCeFb4011,contract,566.1589,48994027,18681928,USDC,Instadapp DSA (individual account),N
aave-eth-core,1,0x3290b7E095E756EE0fa9f51c4087C9F6546eE4fB,EOA,439.7278,38249820,18484745,USDC+USDT,EOA,N (EOA)
aave-eth-core,1,0xF523259262979a26095474974b56443AD34c53B7,contract,347.0971,30036420,17703732,USDT,Kraken Bitcoin Vault - LoanManager (Aave WBTC/USDT),Y
Compound v3 cUSDTv3 (WBTC),Ethereum,0xcefe83811ed89bb35e5224314885aeccf00298ac,EOA,36.08,0,16220000,USDT,EOA,N (EOA)
