month,avg_tvl_usd_protocol_defillama,avg_tvl_usd_btc_markets,yb_emitted_btc_gauges,yb_emitted_eth_gauges,yb_emissions_usd_btc_gauges,yb_emissions_usd_all,avg_yb_price,admin_fee_accrued_usd_btc,admin_fee_accrued_usd_all,veyb_distributed_usd,emission_cost_pct_btc_tvl_ann,admin_rev_pct_btc_tvl_ann
2025-09,3084180,3052195,0,0,0,0,,423,423,0,0.0,0.72
2025-10,95125951,99212317,3078635,0,1631211,1631211,0.535,2131567,2131567,0,19.36,25.3
2025-11,142412478,143283634,5093654,0,2454048,2454048,0.4768,4090385,4090385,0,20.84,34.73
2025-12,181902605,184843123,4788205,0,2123550,2123550,0.4383,327247,327247,1682834,13.53,2.08
2026-01,227176445,207576442,4892622,388161,1681040,1800742,0.3376,293877,353455,242427,9.54,1.67
2026-02,157016340,161596791,3677888,497137,608785,691227,0.1642,1486822,1526690,1360368,4.91,11.99
2026-03,160748965,158948711,4021722,577929,561790,642620,0.1385,181124,191206,484313,4.16,1.34
2026-04,171179784,154267425,3426656,998268,405527,524385,0.1183,0,12692,10395,3.2,0.0
2026-05,156253592,132707504,3403050,1232976,393070,536565,0.1149,566,12094,6833,3.49,0.01
2026-06,118685225,98411608,3603218,665574,294931,349741,0.0807,93288,119273,78575,3.65,1.15
2026-07,128328819,98884562,3525117,782234,259836,317465,0.0735,54298,54298,92298,3.09,0.65
2026-08,141186810,110078602,3717206,607690,298560,346378,0.0801,37197,37197,25722,3.19,0.4
2026-09,138444893,112418816,2690446,329984,240720,270231,0.0891,4058,4203,25159,3.72,0.06
