date,event,type,source,btc_tvl_d_minus1,btc_tvl_d_plus7
2024-12-27,"Basis Yield AG (Swiss AG, Zug) registered",corporate,docs.yieldbasis.com/pdf/mica-whitepaper.pdf,,
2025-02-18,"Private token round $5M at $50M valuation (DefiLlama raises); whitepaper: $6M total from SevenX, Delphi Ventures, AntAlpha, Amber, Aquarius, Bitscale, Mirana, Chorus One, Karatage, NoLimitsHoldings +20 angels",funding,api.llama.fi/protocol/yield-basis; MiCA whitepaper,,
2025-09-11,"Public sale (Legion x Kraken) subscription 11-12 Sep: 25M YB (2.5%) at $0.20, $5M, $200M FDV; USDC; Kraken listing at TGE",token sale,MiCA whitepaper Part E,,
2025-09-15,YB token and Factory deployed,token,docs.yieldbasis.com/user/governance/yb-token; Blockscout,,
2025-09-16,YB DAO #0 executed: Test the DAO in prod,YB governance,api.yieldbasis.com/v1/governance/proposals (onchain Aragon DAO 0x42F2…95Fa),,
2025-09-22,YB DAO #1 executed: Pass control over Curve grant to Curve DAO,YB governance,api.yieldbasis.com/v1/governance/proposals (onchain Aragon DAO 0x42F2…95Fa),,27.6
2025-09-24,"YB DAO #2 executed: Use new AMM, LT and Gauge implementations in Yield Basis",YB governance,api.yieldbasis.com/v1/governance/proposals (onchain Aragon DAO 0x42F2…95Fa),,27.6
2025-09-24,YB DAO #3 created (not executed): Create first Yield Basis markerts [start 2025-09-24],YB governance,api.yieldbasis.com/v1/governance/proposals (onchain Aragon DAO 0x42F2…95Fa),,27.6
2025-09-24,YB DAO #4 executed: Create first Yield Basis markerts,YB governance,api.yieldbasis.com/v1/governance/proposals (onchain Aragon DAO 0x42F2…95Fa),,27.6
2025-09-24,YB DAO #5 executed: Create first Yield Basis markerts,YB governance,api.yieldbasis.com/v1/governance/proposals (onchain Aragon DAO 0x42F2…95Fa),,27.6
2025-09-24,YB DAO #6 executed: Create first Yield Basis markerts,YB governance,api.yieldbasis.com/v1/governance/proposals (onchain Aragon DAO 0x42F2…95Fa),,27.6
2025-09-24,Curve DAO vote 1206 executed (96.94% yes): Create a credit line of up to 60m crvUSD for Yield Basis [https://gov.curve.finance/t/create-a-crvusd-credit-line-to-yield-basis/10774],Curve governance,prices.curve.finance/v1/dao/proposals; gov.curve.finance,,27.6
2025-09-24,crvUSD debt ceiling for YB Factory set to 60M crvUSD (block 23432188),credit line (onchain),archive eth_call crvUSD ControllerFactory.debt_ceiling(0x370a…00c0),,27.6
2025-09-24,Market v1-WBTC LT deployed (0x6095a220c5567360d459462a25b1ad5aead45204),market launch,Blockscout creation tx 0xd5ab71f83661f768e835b066ee83fbe296d49e0a5a73ca6126ba43a4eb39076e,,27.6
2025-09-24,Market v1-cbBTC LT deployed (0xd6a1147666f6e4d7161caf436d9923d44d901112),market launch,Blockscout creation tx 0xd3db73f6b06858425d3852a59ed1065148add2ba2836732a43caad9de99abea5,,27.6
2025-09-24,Market v1-tBTC LT deployed (0x2b513ebe7070cff91cf699a0bfe5075020c732ff),market launch,Blockscout creation tx 0x988909f3bdca5018320226100d409e07654d1d80900247be26ae56f0bad3ab31,,27.6
