market,bucket_btc_equiv,holders,btc_equiv,share_of_market_pct
v3-WBTC,<0.01,197,0.2954,0.06
v3-WBTC,0.01-0.1,94,3.4832,0.74
v3-WBTC,0.1-1,115,40.1985,8.56
v3-WBTC,1-10,58,147.3203,31.35
v3-WBTC,10-100,11,278.5787,59.29
v3-WBTC,>100,0,0.0,0.0
v3-cbBTC,<0.01,206,0.3417,0.1
v3-cbBTC,0.01-0.1,95,3.3678,0.96
v3-cbBTC,0.1-1,87,34.0616,9.68
v3-cbBTC,1-10,45,118.1702,33.58
v3-cbBTC,10-100,11,195.9717,55.69
v3-cbBTC,>100,0,0.0,0.0
v3-tBTC,<0.01,218,0.3161,0.13
v3-tBTC,0.01-0.1,72,2.5952,1.03
v3-tBTC,0.1-1,52,21.6332,8.6
v3-tBTC,1-10,22,67.944,27.0
v3-tBTC,10-100,2,39.2012,15.58
v3-tBTC,>100,1,119.9615,47.67
v2-WBTC,<0.01,182,0.1876,0.44
v2-WBTC,0.01-0.1,32,0.9278,2.16
v2-WBTC,0.1-1,10,4.0137,9.33
v2-WBTC,1-10,6,19.6812,45.76
v2-WBTC,10-100,1,18.1962,42.31
v2-WBTC,>100,0,0.0,0.0
v2-cbBTC,<0.01,151,0.1306,0.09
v2-cbBTC,0.01-0.1,20,0.7058,0.5
v2-cbBTC,0.1-1,10,3.788,2.69
v2-cbBTC,1-10,4,15.5143,11.03
v2-cbBTC,10-100,2,120.5638,85.69
v2-cbBTC,>100,0,0.0,0.0
v2-tBTC,<0.01,255,0.1855,0.35
v2-tBTC,0.01-0.1,27,0.9032,1.69
v2-tBTC,0.1-1,12,2.5209,4.72
v2-tBTC,1-10,2,3.0205,5.65
v2-tBTC,10-100,1,46.7984,87.59
v2-tBTC,>100,0,0.0,0.0
v1-WBTC,<0.01,920,0.2329,32.24
v1-WBTC,0.01-0.1,15,0.389,53.84
v1-WBTC,0.1-1,1,0.1006,13.92
v1-WBTC,1-10,0,0.0,0.0
v1-WBTC,10-100,0,0.0,0.0
v1-WBTC,>100,0,0.0,0.0
v1-cbBTC,<0.01,88,0.0697,8.29
v1-cbBTC,0.01-0.1,4,0.1908,22.69
v1-cbBTC,0.1-1,2,0.5804,69.02
v1-cbBTC,1-10,0,0.0,0.0
v1-cbBTC,10-100,0,0.0,0.0
v1-cbBTC,>100,0,0.0,0.0
v1-tBTC,<0.01,374,0.1169,7.9
v1-tBTC,0.01-0.1,8,0.3579,24.19
v1-tBTC,0.1-1,2,1.0047,67.91
v1-tBTC,1-10,0,0.0,0.0
v1-tBTC,10-100,0,0.0,0.0
v1-tBTC,>100,0,0.0,0.0
v3 BTC markets combined,<0.01,253,0.5012,0.05
v3 BTC markets combined,0.01-0.1,170,6.4427,0.6
v3 BTC markets combined,0.1-1,187,70.5418,6.57
v3 BTC markets combined,1-10,112,311.3791,29.01
v3 BTC markets combined,10-100,20,444.6506,41.42
v3 BTC markets combined,>100,2,239.9249,22.35
all BTC markets combined (v1+v2+v3),<0.01,1814,1.1854,0.09
all BTC markets combined (v1+v2+v3),0.01-0.1,260,9.4651,0.72
all BTC markets combined (v1+v2+v3),0.1-1,217,79.6386,6.06
all BTC markets combined (v1+v2+v3),1-10,121,334.2929,25.45
all BTC markets combined (v1+v2+v3),10-100,21,539.601,41.08
all BTC markets combined (v1+v2+v3),>100,3,349.4375,26.6
