block,time,market,shares,share_of_supply_pct,book_value_asset,redeem_asset,haircut_vs_book_pct,pps,pool_price_scale,pool_price_oracle,ps_lag_pct,pool_crvusd,pool_asset,pool_crvusd_share_pct,cap_usd,tvl_asset
26028840,2026-09-21T22:24:47+00:00,v3-WBTC,0.01,0.0,0.010082,0.009482,-5.953,1.008177,69613.59,86191.2,23.81,47780164,254.2695,68.6,49999556,478.4235
26028840,2026-09-21T22:24:47+00:00,v3-WBTC,0.1,0.02,0.100818,0.094815,-5.954,1.008177,69613.59,86191.2,23.81,47780164,254.2695,68.6,49999556,478.4235
26028840,2026-09-21T22:24:47+00:00,v3-WBTC,1,0.21,1.008177,0.948002,-5.969,1.008177,69613.59,86191.2,23.81,47780164,254.2695,68.6,49999556,478.4235
26028840,2026-09-21T22:24:47+00:00,v3-WBTC,5,1.05,5.040887,4.736663,-6.035,1.008177,69613.59,86191.2,23.81,47780164,254.2695,68.6,49999556,478.4235
26028840,2026-09-21T22:24:47+00:00,v3-WBTC,10,2.11,10.081773,9.464758,-6.12,1.008177,69613.59,86191.2,23.81,47780164,254.2695,68.6,49999556,478.4235
26028840,2026-09-21T22:24:47+00:00,v3-WBTC,25,5.27,25.204434,23.593978,-6.39,1.008177,69613.59,86191.2,23.81,47780164,254.2695,68.6,49999556,478.4235
26028840,2026-09-21T22:24:47+00:00,v3-WBTC,50,10.53,50.408867,46.933876,-6.894,1.008177,69613.59,86191.2,23.81,47780164,254.2695,68.6,49999556,478.4235
26028840,2026-09-21T22:24:47+00:00,v3-WBTC,100,21.07,100.817735,92.579274,-8.172,1.008177,69613.59,86191.2,23.81,47780164,254.2695,68.6,49999556,478.4235
26028840,2026-09-21T22:24:47+00:00,v3-WBTC,200,42.14,201.63547,176.052989,-12.687,1.008177,69613.59,86191.2,23.81,47780164,254.2695,68.6,49999556,478.4235
26028840,2026-09-21T22:24:47+00:00,v3-WBTC,300,63.21,302.453205,233.809793,-22.696,1.008177,69613.59,86191.2,23.81,47780164,254.2695,68.6,49999556,478.4235
26028840,2026-09-21T22:24:47+00:00,v3-WBTC,450,94.81,453.679807,254.204351,-43.968,1.008177,69613.59,86191.2,23.81,47780164,254.2695,68.6,49999556,478.4235
26028840,2026-09-21T22:24:47+00:00,v3-cbBTC,0.01,0.0,0.010055,0.010048,-0.07,1.005514,85286.79,86295.42,1.18,31091214,339.726,51.5,50000000,352.6319
26028840,2026-09-21T22:24:47+00:00,v3-cbBTC,0.1,0.03,0.100551,0.100481,-0.07,1.005514,85286.79,86295.42,1.18,31091214,339.726,51.5,50000000,352.6319
26028840,2026-09-21T22:24:47+00:00,v3-cbBTC,1,0.29,1.005514,1.004813,-0.07,1.005514,85286.79,86295.42,1.18,31091214,339.726,51.5,50000000,352.6319
26028840,2026-09-21T22:24:47+00:00,v3-cbBTC,5,1.43,5.027572,5.024023,-0.071,1.005514,85286.79,86295.42,1.18,31091214,339.726,51.5,50000000,352.6319
26028840,2026-09-21T22:24:47+00:00,v3-cbBTC,10,2.85,10.055144,10.047941,-0.072,1.005514,85286.79,86295.42,1.18,31091214,339.726,51.5,50000000,352.6319
26028840,2026-09-21T22:24:47+00:00,v3-cbBTC,25,7.13,25.13786,25.119025,-0.075,1.005514,85286.79,86295.42,1.18,31091214,339.726,51.5,50000000,352.6319
26028840,2026-09-21T22:24:47+00:00,v3-cbBTC,50,14.26,50.27572,50.234922,-0.081,1.005514,85286.79,86295.42,1.18,31091214,339.726,51.5,50000000,352.6319
26028840,2026-09-21T22:24:47+00:00,v3-cbBTC,100,28.51,100.55144,100.453631,-0.097,1.005514,85286.79,86295.42,1.18,31091214,339.726,51.5,50000000,352.6319
26028840,2026-09-21T22:24:47+00:00,v3-cbBTC,200,57.03,201.10288,200.778974,-0.161,1.005514,85286.79,86295.42,1.18,31091214,339.726,51.5,50000000,352.6319
26028840,2026-09-21T22:24:47+00:00,v3-cbBTC,300,85.54,301.65432,300.252612,-0.465,1.005514,85286.79,86295.42,1.18,31091214,339.726,51.5,50000000,352.6319
26028840,2026-09-21T22:24:47+00:00,v3-tBTC,0.01,0.0,0.010038,0.00946,-5.757,1.003752,69947.85,86205.2,23.24,25725617,138.2805,68.3,17870000,257.4243
26028840,2026-09-21T22:24:47+00:00,v3-tBTC,0.1,0.04,0.100375,0.094594,-5.76,1.003752,69947.85,86205.2,23.24,25725617,138.2805,68.3,17870000,257.4243
