month,pool,asset,date,tvl_btc,tvl_usd,tvl_btc_redeemable,tvl_usd_redeemable,asset_price_usd,net_flow_asset,flow_method,cap_usd,debt_crvusd
2025-09,v1-WBTC,WBTC,2025-09-30,9.1961,1048290,9.1753,1045919,113992.94,9.222,API LT Deposit/Withdraw events (calendar month),1000000,1048247
2025-09,v1-cbBTC,cbBTC,2025-09-30,9.1985,1048703,9.1691,1045349,114007.79,9.2279,API LT Deposit/Withdraw events (calendar month),1000000,1050062
2025-09,v1-tBTC,tBTC,2025-09-30,9.2124,1043681,9.2388,1046670,113290.85,9.2534,API LT Deposit/Withdraw events (calendar month),1000000,1034582
2025-10,v1-WBTC,WBTC,2025-10-31,460.7748,50549848,464.4854,50956922,109706.2,454.5083,API LT Deposit/Withdraw events (calendar month),50000000,50165140
2025-10,v1-cbBTC,cbBTC,2025-10-31,453.8538,49809834,457.7597,50238507,109748.64,454.4387,API LT Deposit/Withdraw events (calendar month),50000000,50166673
2025-10,v1-tBTC,tBTC,2025-10-31,455.1394,49840828,460.3289,50409117,109506.73,462.2007,API LT Deposit/Withdraw events (calendar month),50000000,50380786
2025-11,v1-WBTC,WBTC,2025-11-30,26.3557,2400051,24.2887,2211824,91063.88,-440.7854,API LT Deposit/Withdraw events (calendar month),2445883,2490174
2025-11,v1-cbBTC,cbBTC,2025-11-30,106.6226,9753900,108.1597,9894517,91480.64,-359.8054,API LT Deposit/Withdraw events (calendar month),9487926,9612078
2025-11,v1-tBTC,tBTC,2025-11-30,21.5515,1961453,19.4565,1770777,91012.32,-451.0856,API LT Deposit/Withdraw events (calendar month),2022267,2052998
2025-11,v2-WBTC,WBTC,2025-11-30,488.4754,44482463,481.2506,43824550,91063.88,484.0277,API LT Deposit/Withdraw events (calendar month),50000000,49333441
2025-11,v2-cbBTC,cbBTC,2025-11-30,472.0688,43185155,471.361,43120404,91480.64,466.8543,API LT Deposit/Withdraw events (calendar month),50000000,41897403
2025-11,v2-tBTC,tBTC,2025-11-30,485.9565,44228030,475.9133,43313970,91012.32,483.707,API LT Deposit/Withdraw events (calendar month),50000000,50196451
2025-12,v1-WBTC,WBTC,2025-12-31,10.9642,953144,10.9344,950552,86932.28,-13.8413,API LT Deposit/Withdraw events (calendar month),1833268,959924
2025-12,v1-cbBTC,cbBTC,2025-12-31,5.662,499369,5.6449,497861,88196.15,-103.6614,API LT Deposit/Withdraw events (calendar month),8911407,503082
2025-12,v1-tBTC,tBTC,2025-12-31,5.076,447186,5.059,445687,88098.33,-14.6902,API LT Deposit/Withdraw events (calendar month),459465,450628
2025-12,v2-WBTC,WBTC,2025-12-31,575.8619,50060987,575.7451,50050839,86932.28,82.3861,API LT Deposit/Withdraw events (calendar month),50000000,50543406
2025-12,v2-cbBTC,cbBTC,2025-12-31,1153.7079,101752591,1153.4352,101728540,88196.15,674.3348,API LT Deposit/Withdraw events (calendar month),100000000,102201960
2025-12,v2-tBTC,tBTC,2025-12-31,569.1659,50142560,569.0416,50131613,88098.33,80.4686,API LT Deposit/Withdraw events (calendar month),50000000,50333183
2026-01,v1-WBTC,WBTC,2026-01-31,10.8441,844201,9.1262,710463,77848.84,-0.9295,API LT Deposit/Withdraw events (calendar month),862460,947528
2026-01,v1-WETH,WETH,2026-01-31,8353.4917,19945912,7790.7139,18602148,2387.73,8345.9493,API LT Deposit/Withdraw events (calendar month),25000000,28404470
2026-01,v1-cbBTC,cbBTC,2026-01-31,5.5349,432326,4.7207,368731,78109.63,-0.5104,API LT Deposit/Withdraw events (calendar month),479736,481557
2026-01,v1-tBTC,tBTC,2026-01-31,3.3251,259665,2.9199,228023,78091.56,-1.9202,API LT Deposit/Withdraw events (calendar month),330290,287404
2026-01,v2-WBTC,WBTC,2026-01-31,572.8682,44597119,550.2692,42837821,77848.84,-4.5486,API LT Deposit/Withdraw events (calendar month),50000000,54257415
2026-01,v2-cbBTC,cbBTC,2026-01-31,1145.8573,89502491,1106.2362,86407707,78109.63,-6.7226,API LT Deposit/Withdraw events (calendar month),100000000,107427719
2026-01,v2-tBTC,tBTC,2026-01-31,579.5788,45260209,565.5834,44167289,78091.56,12.3697,API LT Deposit/Withdraw events (calendar month),50000000,52657675
2026-02,v1-WBTC,WBTC,2026-02-28,12.8929,862335,8.0711,539832,66884.49,-0.3063,API LT Deposit/Withdraw events (calendar month),862460,1010448
2026-02,v1-WETH,WETH,2026-02-28,8340.5662,16192542,6692.0918,12992160,1941.42,-19.6052,API LT Deposit/Withdraw events (calendar month),25000000,29015192
2026-02,v1-cbBTC,cbBTC,2026-02-28,6.9742,467620,4.4395,297668,67050.29,-0.0371,API LT Deposit/Withdraw events (calendar month),479736,530547
2026-02,v1-tBTC,tBTC,2026-02-28,3.9361,263555,2.5993,174045,66958.02,-0.0921,API LT Deposit/Withdraw events (calendar month),279384,310684
2026-02,v2-WBTC,WBTC,2026-02-28,577.094,38598642,479.9493,32101167,66884.49,-4.8632,API LT Deposit/Withdraw events (calendar month),33333333,59140163
2026-02,v2-cbBTC,cbBTC,2026-02-28,1147.998,76973598,963.7058,64616748,67050.29,-14.2999,API LT Deposit/Withdraw events (calendar month),66666667,117020278
2026-02,v2-tBTC,tBTC,2026-02-28,588.5823,39410302,503.7901,33732786,66958.02,-1.0827,API LT Deposit/Withdraw events (calendar month),33333333,58794079
2026-03,v1-WBTC,WBTC,2026-03-31,7.5144,509915,5.3285,361582,67858.2,-3.1716,API LT Deposit/Withdraw events (calendar month),862460,603448
2026-03,v1-WETH,WETH,2026-03-31,8965.6644,18620498,8038.8162,16695557,2076.87,548.3927,API LT Deposit/Withdraw events (calendar month),25000000,28687443
2026-03,v1-cbBTC,cbBTC,2026-03-31,5.6545,384190,4.043,274701,67943.91,-0.3911,API LT Deposit/Withdraw events (calendar month),479736,452719
2026-03,v1-tBTC,tBTC,2026-03-31,2.7766,188633,2.0466,139040,67935.39,-0.7681,API LT Deposit/Withdraw events (calendar month),279384,212984
2026-03,v2-WBTC,WBTC,2026-03-31,562.2395,38152562,498.8549,33851399,67858.2,-4.9434,API LT Deposit/Withdraw events (calendar month),33333333,54379722
2026-03,v2-cbBTC,cbBTC,2026-03-31,1115.8312,75813938,994.2553,67553595,67943.91,-16.7594,API LT Deposit/Withdraw events (calendar month),66666667,107342779
2026-03,v2-tBTC,tBTC,2026-03-31,576.7788,39183691,521.4926,35427808,67935.39,-6.0297,API LT Deposit/Withdraw events (calendar month),33333333,54081151
2026-04,v1-WBTC,WBTC,2026-04-30,2.9801,227664,2.9786,227551,76394.33,-3.1677,API LT Deposit/Withdraw events (calendar month),287710,224724
2026-04,v1-WETH,WETH,2026-04-30,10510.9063,23718318,10162.7992,22932799,2256.54,1425.2015,API LT Deposit/Withdraw events (calendar month),27682686,29971893
2026-04,v1-cbBTC,cbBTC,2026-04-30,1.9015,144401,1.9078,144874,75939.25,-2.7188,API LT Deposit/Withdraw events (calendar month),163237,145143
2026-04,v1-tBTC,tBTC,2026-04-30,2.0081,152298,2.0131,152677,75841.52,-0.2533,API LT Deposit/Withdraw events (calendar month),163029,150895
