month,pool,unstaked_realized_apy,staked_reward_apy,crvusd_rate,rebalancing_loss_est,notes,period,days,unstaked_redeemable_apy,interest_paid_usd,interest_cost_pct_equity_ann,gross_pool_income_est,watermark_gap_end_pct,trd_end_pct,pps_start,pps_end,redeem_start,redeem_end
2025-09,v1-WBTC,11.26,0.0,7.0,11.27,partial month (6 d) - annualised figure noisy; NEGATIVE: redeemable value per share fell,2025-09-24..2025-09-30,6,-5.96,895,5.32,20.17,,-0.23,1.008173,1.009942,1.008677,1.007658
2025-09,v1-cbBTC,12.69,0.0,7.0,14.43,partial month (6 d) - annualised figure noisy; NEGATIVE: redeemable value per share fell,2025-09-24..2025-09-30,6,-8.26,893,5.3,22.01,,-0.32,1.009325,1.011309,1.009505,1.008074
2025-09,v1-tBTC,-22.9,0.0,7.0,13.48,partial month (6 d) - annualised figure noisy; NEGATIVE: book PPS fell; NEGATIVE: redeemable value per share fell,2025-09-24..2025-09-30,6,-10.09,714,4.25,14.01,,0.29,1.028125,1.02374,1.028468,1.026672
2025-10,v1-WBTC,-11.95,13.63,7.0,33.27,NEGATIVE: book PPS fell; NEGATIVE: redeemable value per share fell; staked side in recovery mode (watermark gap -6.90%),2025-09-30..2025-10-31,31,-0.61,189326,8.64,56.85,-6.9,0.81,1.009942,0.999087,1.007658,1.007133
2025-10,v1-cbBTC,38.21,14.18,7.0,31.29,staked side in recovery mode (watermark gap -3.98%),2025-09-30..2025-10-31,31,58.76,186916,8.65,52.26,-3.98,0.86,1.011309,1.03949,1.008074,1.048436
2025-10,v1-tBTC,46.94,18.58,7.0,43.92,staked side in recovery mode (watermark gap -6.00%),2025-09-30..2025-10-31,31,62.37,191014,8.84,54.44,-6.0,1.14,1.02374,1.057756,1.026672,1.069816
2025-11,v1-WBTC,311.51,34.94,7.0,20.7,staked side in recovery mode (watermark gap -11.41%); TRD -7.8% at month end,2025-10-31..2025-11-30,30,38.18,136725,6.28,44.08,-11.41,-7.84,0.999087,1.122278,1.007133,1.034262
2025-11,v1-cbBTC,139.51,21.41,7.0,29.69,staked side in recovery mode (watermark gap -8.62%),2025-10-31..2025-11-30,30,156.84,162454,6.64,60.57,-8.62,1.44,1.03949,1.116856,1.048436,1.132957
2025-11,v1-tBTC,585.04,51.86,7.0,15.78,staked side in recovery mode (watermark gap -10.87%); TRD -9.7% at month end,2025-10-31..2025-11-30,30,71.97,131012,6.15,34.24,-10.87,-9.72,1.057756,1.239009,1.069816,1.118563
2025-11,v2-WBTC,50.61,28.86,7.0,20.38,partial month (18 d) - annualised figure noisy; staked side in recovery mode (watermark gap -0.66%); TRD -1.5% at month end,2025-11-12..2025-11-30,18,12.73,166285,8.58,44.67,-0.66,-1.48,1.000639,1.021054,1.000025,1.005952
2025-11,v2-cbBTC,51.6,29.84,7.0,36.37,partial month (18 d) - annualised figure noisy,2025-11-12..2025-11-30,18,48.42,137001,7.75,74.46,-0.05,-0.15,1.000087,1.02082,0.999632,1.01929
2025-11,v2-tBTC,29.2,26.88,7.0,14.52,partial month (18 d) - annualised figure noisy; NEGATIVE: redeemable value per share fell; staked side in recovery mode (watermark gap -1.16%); TRD -2.1% at month end,2025-11-12..2025-11-30,18,-14.84,170628,8.36,33.18,-1.16,-2.07,0.999952,1.012667,0.999626,0.991738
