month,unstaked_book_apy,unstaked_redeemable_apy,staked_token_apr,staked_frac,blended_lp_apy,organic_to_unstaked_usd,admin_fees_usd,incentive_yb_usd,organic_share_of_lp_income
2025-09,0.34,-8.1,0.0,0.0,0.34,-537,423,0,
2025-10,24.24,39.99,15.46,0.854,16.74,155894,2131567,1631211,0.087
2025-11,43.32,13.93,28.46,0.668,33.39,661622,4090385,2454048,0.212
2025-12,13.76,28.96,22.9,0.647,19.67,662513,327247,2123550,0.238
2026-01,2.24,-31.14,12.03,0.808,10.15,83723,293877,1681040,0.047
2026-02,53.3,-74.82,8.05,0.588,26.71,2127466,1486822,608785,0.778
2026-03,-16.55,68.38,6.76,0.641,-1.6,-854681,181124,561790,0.0
2026-04,-12.59,244.94,5.06,0.617,-1.7,-648320,0,405527,0.0
2026-05,-0.01,0.37,5.82,0.752,4.37,-32890,566,393070,0.0
2026-06,10.05,-14.56,5.6,0.656,7.13,209652,93288,294931,0.415
2026-07,3.83,40.4,4.76,0.644,4.43,110682,54298,259836,0.299
2026-08,0.95,-24.69,4.85,0.74,3.84,9769,37197,298560,0.032
2026-09,-1.07,9.19,5.1,0.752,3.57,-13208,4058,240720,0.0
