project,chain,symbol,pool_meta,btc_0923,tvl_usd_0923,btc_can_be_lent,supply_apy_base_pct,supply_apy_reward_pct,supply_apy_total_pct,supply_apy_mean30d_pct,btc_utilization,btc_borrow_apy_pct,dollar_loan_apy_pct,note
morpho-blue,Base,CBBTC,,38265.1,3266390488,no,0,0,0,0,,,5.06345,collateral pool: BTC is not lent; dollar_loan_apy = rate paid on the loan taken against it
aave-v3,Ethereum,WBTC,,33889.6,2892889042,yes,0.00336,0,0.00336,0.00481,0.0212,0.31639,,
aave-v3,Ethereum,CBBTC,,18181.1,1551974646,yes,0.00107,0,0.00107,0.00093,0.0075,0.28737,,
morpho-blue,Ethereum,CBBTC,,8404.9,717457621,no,0,0,0,0,,,4.99779,collateral pool: BTC is not lent; dollar_loan_apy = rate paid on the loan taken against it
justlend-v1,Tron,BTC,,6571.3,560938021,yes,0.00537,0,0.00537,0.00353,0.0029,2.08579,,
sparklend,Ethereum,CBBTC,,5950.8,507974652,yes,0.00102,0,0.00102,0.00041,0.0319,0.03989,,
compound-v3,Ethereum,WBTC,USDC-pool,4843.3,413430831,no,0,0,0,0,,,,collateral pool: BTC is not lent; dollar_loan_apy = rate paid on the loan taken against it
venus-core-pool,BSC,BTCB,,4540.1,387550322,yes,0.1697,0,0.1697,0.1824,0.2254,1.0802,,
morpho-blue,Ethereum,KBTC,,3589.2,306385099,no,0,0,0,0,,,3.53129,collateral pool: BTC is not lent; dollar_loan_apy = rate paid on the loan taken against it
morpho-blue,Ethereum,WBTC,,3039.1,259425147,no,0,0,0,0,,,5.00655,collateral pool: BTC is not lent; dollar_loan_apy = rate paid on the loan taken against it
aave-v3,Arbitrum,WBTC,,2871.4,245106289,yes,0.02092,0,0.02092,0.02965,0.0543,0.77129,,
aave-v3,Base,CBBTC,,2803.8,239334656,yes,0.00881,0,0.00881,0.01166,0.0276,0.63812,,
morpho-blue,Ethereum,KBTC,,2766.5,236153680,no,0,0,0,0,,,3.63261,collateral pool: BTC is not lent; dollar_loan_apy = rate paid on the loan taken against it
sparklend,Ethereum,LBTC,,2732.8,233275913,yes,0,0,0,0,,,,
aave-v3,Ethereum,LBTC,,2706.1,231000556,yes,0,0,0,0,0.0,6e-05,,
venus-core-pool,BSC,SOLVBTC,,2574.5,219765934,yes,0,0,0,0,0.0007,0.0065,,
sparklend,Ethereum,WBTC,,2040.2,174153520,yes,1e-05,0,1e-05,1e-05,,,,
morpho-blue,Ethereum,WBTC,,1937.1,165358164,no,0,0,0,0,,,4.46362,collateral pool: BTC is not lent; dollar_loan_apy = rate paid on the loan taken against it
aave-v3,Ethereum,TBTC,,1710.9,146049984,yes,0.0002,0,0.0002,0.00019,0.0015,0.25758,,
compound-v3,Ethereum,WBTC,USDT-pool,1417.7,121021647,no,0,0,0,0,,,,collateral pool: BTC is not lent; dollar_loan_apy = rate paid on the loan taken against it
aave-v3,Avalanche,BTC.B,,1147.7,97966690,yes,0.00747,0,0.00747,0.00782,0.0547,0.27327,,
tydro,Ink,KBTC,,1081.3,92303324,yes,0.00841,0,0.00841,0.02693,0.0021,8.01865,,
aave-v3,BSC,BTCB,,999.0,85276575,yes,0.00737,0,0.00737,0.01503,0.0131,0.7036,,
townsquare-lending,Monad,ENZOBTC,,954.3,81462841,yes,0.00329,0,0.00329,0.00329,,,,
aave-v3,Polygon,WBTC,,829.6,70814110,yes,0.01212,0,0.01212,0.01359,0.0357,0.67858,,
