segment,protocol,slug,month,btc_total,btc_plain,btc_yieldbearing,btc_borrowed,usd,source
money_market,Aave V3,aave-v3,2024-09,45763.7196,45763.7196,0,3320.2312,2909391242,defillama-protocol (token units)
money_market,Aave V3,aave-v3,2024-10,52804.6317,52804.6317,0,3092.8083,3712913790,defillama-protocol (token units)
money_market,Aave V3,aave-v3,2024-11,55768.2541,55768.2541,0,4318.1955,5374103750,defillama-protocol (token units)
money_market,Aave V3,aave-v3,2024-12,47939.102,47939.102,0,3789.6141,4468687597,defillama-protocol (token units)
money_market,Aave V3,aave-v3,2025-01,48431.3652,47632.3567,799.0085,4710.4659,4949587015,defillama-protocol (token units)
money_market,Aave V3,aave-v3,2025-02,53329.7603,51470.3769,1859.3835,4194.2658,4496429392,defillama-protocol (token units)
money_market,Aave V3,aave-v3,2025-03,61999.6567,59530.4202,2469.2365,5247.0725,5106617019,defillama-protocol (token units)
money_market,Aave V3,aave-v3,2025-04,66251.013,61780.4745,4470.5384,5731.5391,6232376493,defillama-protocol (token units)
money_market,Aave V3,aave-v3,2025-05,68722.1008,63998.575,4723.5258,4521.7081,7171954421,defillama-protocol (token units)
money_market,Aave V3,aave-v3,2025-06,66058.8786,62688.8928,3369.9858,3705.4408,7073747827,defillama-protocol (token units)
money_market,Aave V3,aave-v3,2025-07,78487.8094,74994.9003,3492.9091,3768.831,9073958539,defillama-protocol (token units)
money_market,Aave V3,aave-v3,2025-08,72474.1441,69152.393,3321.7511,5117.4494,7843200515,defillama-protocol (token units)
money_market,Aave V3,aave-v3,2025-09,76908.1423,74655.8012,2252.3411,3002.2115,8787084900,defillama-protocol (token units)
money_market,Aave V3,aave-v3,2025-10,75391.6548,72236.3497,3155.3052,3109.0835,8244492466,defillama-protocol (token units)
money_market,Aave V3,aave-v3,2025-11,76825.9717,73958.2916,2867.6801,2458.3433,6941263145,defillama-protocol (token units)
money_market,Aave V3,aave-v3,2025-12,81072.8192,77365.4782,3707.341,2322.7087,7099714384,defillama-protocol (token units)
money_market,Aave V3,aave-v3,2026-01,76698.4302,73604.9538,3093.4764,2324.4524,6062414700,defillama-protocol (token units)
money_market,Aave V3,aave-v3,2026-02,81106.9673,78100.3748,3006.5926,1842.0416,5421339800,defillama-protocol (token units)
money_market,Aave V3,aave-v3,2026-03,81317.3148,77601.6967,3715.6181,1959.8618,5533829844,defillama-protocol (token units)
money_market,Aave V3,aave-v3,2026-04,53092.921,51251.1422,1841.7788,1847.4053,4053093100,defillama-protocol (token units)
money_market,Aave V3,aave-v3,2026-05,58559.5937,56520.1637,2039.43,1741.8818,4310736613,defillama-protocol (token units)
money_market,Aave V3,aave-v3,2026-06,63270.736,61107.1058,2163.6302,1830.5162,3700623450,defillama-protocol (token units)
money_market,Aave V3,aave-v3,2026-07,65497.2725,63441.7628,2055.5097,1917.5236,4122187498,defillama-protocol (token units)
money_market,Aave V3,aave-v3,2026-08,67082.3598,64557.6279,2524.7319,1672.6398,5272809192,defillama-protocol (token units)
money_market,Aave V3,aave-v3,2026-09,65620.1152,62829.2106,2790.9046,1326.9713,5335191097,defillama-protocol (token units)
money_market,Morpho Blue,morpho-blue,2024-09,2178.0125,2141.0868,36.9258,42.3546,138426280,defillama-protocol (token units)
money_market,Morpho Blue,morpho-blue,2024-10,2626.4633,2381.8964,244.5669,177.831,184609306,defillama-protocol (token units)
money_market,Morpho Blue,morpho-blue,2024-11,2792.1203,2487.9964,304.1239,330.639,268976406,defillama-protocol (token units)
money_market,Morpho Blue,morpho-blue,2024-12,5078.902,4098.1432,980.7589,1133.3913,473966327,defillama-protocol (token units)
money_market,Morpho Blue,morpho-blue,2025-01,6070.5035,4726.8396,1343.664,1648.7675,623739198,defillama-protocol (token units)
money_market,Morpho Blue,morpho-blue,2025-02,7011.0939,6137.6745,873.4195,1277.1903,591418354,defillama-protocol (token units)
money_market,Morpho Blue,morpho-blue,2025-03,8821.954,7219.2713,1602.6827,765.1195,728426350,defillama-protocol (token units)
money_market,Morpho Blue,morpho-blue,2025-04,9288.21,8783.1425,505.0675,539.9784,873995736,defillama-protocol (token units)
money_market,Morpho Blue,morpho-blue,2025-05,13833.746,13242.3959,591.3501,466.0861,1443683455,defillama-protocol (token units)
money_market,Morpho Blue,morpho-blue,2025-06,16476.9697,15989.6214,487.3483,367.7493,1764680660,defillama-protocol (token units)
money_market,Morpho Blue,morpho-blue,2025-07,19749.1815,19452.4963,296.6853,209.792,2283940939,defillama-protocol (token units)
money_market,Morpho Blue,morpho-blue,2025-08,24626.4098,24329.2539,297.1559,246.8687,2665733698,defillama-protocol (token units)
money_market,Morpho Blue,morpho-blue,2025-09,26822.6873,26363.6403,459.047,374.2986,3071941646,defillama-protocol (token units)
money_market,Morpho Blue,morpho-blue,2025-10,32342.6064,31775.2743,567.3321,455.1496,3538314036,defillama-protocol (token units)
money_market,Morpho Blue,morpho-blue,2025-11,35904.9076,35395.8014,509.1062,342.804,3215535194,defillama-protocol (token units)
money_market,Morpho Blue,morpho-blue,2025-12,37725.6386,37212.4548,513.1838,338.5896,3300123124,defillama-protocol (token units)
money_market,Morpho Blue,morpho-blue,2026-01,42345.0549,40523.3123,1821.7425,811.4036,3333275634,defillama-protocol (token units)
money_market,Morpho Blue,morpho-blue,2026-02,44544.5667,43485.3571,1059.2096,787.3943,2980795672,defillama-protocol (token units)
money_market,Morpho Blue,morpho-blue,2026-03,44370.5199,43618.6087,751.9113,596.0091,3022271148,defillama-protocol (token units)
money_market,Morpho Blue,morpho-blue,2026-04,45934.1827,45265.7918,668.391,358.6248,3508485020,defillama-protocol (token units)
money_market,Morpho Blue,morpho-blue,2026-05,49734.497,48797.9202,936.5767,121.9885,3662560159,defillama-protocol (token units)
money_market,Morpho Blue,morpho-blue,2026-06,55801.1123,54630.1454,1170.9668,79.1055,3321138176,defillama-protocol (token units)
money_market,Morpho Blue,morpho-blue,2026-07,58624.0036,57372.7497,1251.2539,73.7523,3688031601,defillama-protocol (token units)
money_market,Morpho Blue,morpho-blue,2026-08,60892.2071,60567.7819,324.4252,84.1723,4787377209,defillama-protocol (token units)
money_market,Morpho Blue,morpho-blue,2026-09,62505.4081,62186.8599,318.5481,108.9745,5076875078,defillama-protocol (token units)
money_market,SparkLend,sparklend,2024-09,2358.5047,2358.5047,0,334.1725,149050420,defillama-protocol (token units)
money_market,SparkLend,sparklend,2024-10,2212.4239,2212.4239,0,331.4786,155241343,defillama-protocol (token units)
money_market,SparkLend,sparklend,2024-11,3207.4176,3207.4176,0,18.1161,308887487,defillama-protocol (token units)
money_market,SparkLend,sparklend,2024-12,4436.0319,4436.0319,0,35.6966,413864843,defillama-protocol (token units)
money_market,SparkLend,sparklend,2025-01,3311.3266,3311.3266,0,39.0794,338443078,defillama-protocol (token units)
money_market,SparkLend,sparklend,2025-02,3141.1747,3141.1747,0,43.5937,264969438,defillama-protocol (token units)
money_market,SparkLend,sparklend,2025-03,2594.3715,2353.7714,240.6001,226.8171,213779481,defillama-protocol (token units)
money_market,SparkLend,sparklend,2025-04,4007.3129,3694.0603,313.2526,38.3132,377322186,defillama-protocol (token units)
money_market,SparkLend,sparklend,2025-05,5424.5826,4252.1593,1172.4233,239.8442,568017700,defillama-protocol (token units)
money_market,SparkLend,sparklend,2025-06,4852.2497,3004.1827,1848.067,216.1662,519946765,defillama-protocol (token units)
money_market,SparkLend,sparklend,2025-07,6006.3959,4685.5123,1320.8835,282.3508,694974793,defillama-protocol (token units)
