product_already_counted,protocol,btc,method,confidence,month,group,segment,slug,chain,in_column,note
Bitget bgBTC Onchain Earn [C1],Morpho Blue,801.5776,DefiLlama Morpho (Morph) BGBTC = the Aera vault position (on-chain 801.58 bgBTC at 09-20 12:00); DefiLlama tracks Morph only from 2026-08-19,high,2026-09,B,money_market,morpho-blue,Morph,btc_total,"the vault held 60-500 bgBTC on Morph in 2026-07, before DefiLlama tracked the chain (not in the money-market totals then)"
Concrete (BTC vaults) [C6],Aave V3,29.29,"on-chain: Concrete ctWBTC v2 0xf72b..a1c4 on Aave v3 Core, carry scan 09-21",high,2026-09,B,money_market,aave-v3,Ethereum,btc_total,WBTC collateral
"Harvest (BTC) [C6, lend-only]",morpho-blue/dolomite/other,14.14,"ASSUMED: Harvest Autopilot vaults lend on Morpho, Dolomite, Arcadia (lending_products.csv); venue split not measured",low,2026-09,B,money_market,morpho-blue/dolomite/other,Base/Arbitrum/Ethereum,btc_borrowed,upper bound = the map row
"IPOR Fusion BTC vaults (Tesseract / BTCD-TAU [C1], other [C6])",Aave V3,23.102,IPOR API marketBalances (DEPOSIT/COLLATERAL) at 2026-09-20 23:29 UTC; 62.5 of the vaults 65.9 BTC,high,2026-09,B,money_market,aave-v3,Base,btc_total,TESS cbBTC Debt Vault cbETH Loop
"IPOR Fusion BTC vaults (Tesseract / BTCD-TAU [C1], other [C6])",Aave V3,11.212,IPOR API marketBalances (DEPOSIT/COLLATERAL) at 2026-09-20 23:29 UTC; 62.5 of the vaults 65.9 BTC,high,2026-09,B,money_market,aave-v3,Ethereum,btc_total,"TESS WBTC WSR LOOP, TESS wBTC USDe loop, Reservoir BTC Yield"
"IPOR Fusion BTC vaults (Tesseract / BTCD-TAU [C1], other [C6])",Morpho Blue,14.227,IPOR API marketBalances (DEPOSIT/COLLATERAL) at 2026-09-20 23:29 UTC; 62.5 of the vaults 65.9 BTC,high,2026-09,B,money_market,morpho-blue,Ethereum,btc_total,"WBTC/USDC collateral: TESS Lending, wBTC Dollar Carry, wBTC Debt Vault Loop, TAU InfiniFi, Reservoir"
"IPOR Fusion BTC vaults (Tesseract / BTCD-TAU [C1], other [C6])",Morpho Blue,1.945,IPOR API marketBalances (DEPOSIT/COLLATERAL) at 2026-09-20 23:29 UTC; 62.5 of the vaults 65.9 BTC,high,2026-09,B,money_market,morpho-blue,Ethereum,btc_borrowed,wBTC Dollar Carry: WBTC supplied to a Morpho market
"IPOR Fusion BTC vaults (Tesseract / BTCD-TAU [C1], other [C6])",SparkLend,12.0,IPOR API marketBalances (DEPOSIT/COLLATERAL) at 2026-09-20 23:29 UTC; 62.5 of the vaults 65.9 BTC,high,2026-09,B,money_market,sparklend,Ethereum,btc_total,TESS WBTC Lending Vault
Kraken Bitcoin Vault [C1],Aave V3,347.1,"on-chain: Aave getUserAccountData / aEthWBTC balance of loan manager 0xF523..53B7, same block",high,2026-09,B,money_market,aave-v3,Ethereum,btc_total,WBTC collateral (Aave WBTC 2% utilised: all counted in TVL)
Kraken Bitcoin Vault [C1],Morpho Blue,5395.41,"on-chain: Morpho position() of the 4 loan managers, ETH block 26018582 (2026-09-20 12:00 UTC)",high,2026-09,B,money_market,morpho-blue,Ethereum,btc_total,"kBTC collateral, markets kBTC/RLUSD and kBTC/PYUSD"
