segment,protocol,slug,defillama_category,included_because,btc_total_0920,btc_borrowed_0920,btc_yieldbearing_0920,peak_month,peak_btc_supplied,btc_total_2024_09,yields_pools_0920_btc,yields_pools_n,chains_0920
money_market,Aave V3,aave-v3,Lending,Lending: >$1M of BTC on 2026-09-20,65620.12,1326.97,2790.9,2025-12,83395.53,45763.72,65589.26,21,Arbitrum Avalanche Base Binance Ethereum Linea Mantle MegaETH Monad Optimism Polygon X Layer
money_market,Morpho Blue,morpho-blue,Lending,Lending: >$1M of BTC on 2026-09-20,62505.41,108.97,318.55,2026-09,62614.38,2178.01,61319.9,74,Arbitrum Arc Base Citrea Ethereum Hyperliquid L1 Katana Monad Morph Optimism Polygon Sei TAC Tempo Unichain World Chain
money_market,SparkLend,sparklend,Lending,Lending: >$1M of BTC on 2026-09-20,10637.1,169.42,2740.84,2025-10,12040.86,2358.5,10623.47,3,Ethereum
money_market,Venus Core Pool,venus-core-pool,Lending,Lending: >$1M of BTC on 2026-09-20,7998.44,1341.88,792.47,2025-10,11217.2,9948.22,7921.98,3,Arbitrum Base Binance Ethereum zkSync Era
money_market,Compound V3,compound-v3,Lending,Lending: >$1M of BTC on 2026-09-20,7663.41,2.86,0.0,2025-04,9867.98,9746.49,7523.78,21,Arbitrum Base Ethereum Linea Mantle Optimism Polygon
money_market,JustLend V1,justlend-v1,Lending,Lending: >$1M of BTC on 2026-09-20,6650.26,18.82,0,2024-09,42998.84,42992.12,6683.86,2,Tron
money_market,Lista Lending,lista-lending,Lending,Lending: >$1M of BTC on 2026-09-20,3075.57,0,0,2025-10,5429.17,0,1.47,1,Binance
money_market,Aave V4,aave-v4,Lending,Lending: >$1M of BTC on 2026-09-20,1164.08,3.05,0.07,2026-09,1167.14,0,1137.41,6,Arc Avalanche Ethereum
money_market,Tydro,tydro,Lending,Lending: >$1M of BTC on 2026-09-20,1150.22,3.81,0,2026-01,2249.53,0,1150.02,2,Ink
money_market,Kamino Lend,kamino-lend,Lending,Lending: >$1M of BTC on 2026-09-20,1070.75,26.13,1.41,2025-09,3736.1,242.14,1068.23,9,Solana
money_market,Fluid Lending,fluid-lending,Lending,Lending: >$1M of BTC on 2026-09-20,812.96,175.63,36.69,2025-07,2632.67,666.11,771.46,24,Arbitrum Base Ethereum Polygon
money_market,NAVI Lending,navi-lending,Lending,Lending: >$1M of BTC on 2026-09-20,843.42,130.0,34.93,2025-09,2781.58,1.04,844.69,7,Sui
money_market,TownSquare Lending,townsquare-lending,Lending,"Lending: DefiLlama yields pool (enzoBTC, Monad) ~951 BTC; protocol TVL adapter shows ~0 (yields-sourced)",951.66,0.0,0.0,2026-07,953.05,0.0,951.66,1,Monad
money_market,Zest V2,zest-v2,Lending,Lending: >$1M of BTC on 2026-09-20,597.93,73.38,0,2026-05,831.33,0,697.85,2,Stacks
money_market,Accountable,accountable,Uncollateralized Lending,Uncollateralized Lending: >$1M of BTC on 2026-09-20,0.19,587.26,0,2026-09,587.44,0,584.35,4,Citrea Ethereum Monad
money_market,Takara Lend,takara-lend,Lending,"Lending: ~545 BTC in DefiLlama yields pools (Sei); protocol data counts it until 2026-01, then 0 (yields-filled from 2026-02)",544.58,0.0,0.0,2025-09,720.9,0,544.58,3,Sei
money_market,Aave V2,aave-v2,Lending,Lending: >$1M of BTC on 2026-09-20,420.06,2.97,0,2024-09,6013.72,5462.32,,,Avalanche Ethereum Polygon
money_market,Compound V2,compound-v2,Lending,Lending: >$1M of BTC on 2026-09-20,290.02,0.77,0,2024-09,4508.73,4491.46,276.59,1,Ethereum
money_market,Jupiter Lend,jupiter-lend,Lending,Lending: >$1M of BTC on 2026-09-20,274.09,7.59,36.81,2026-01,1589.13,0,10.17,16,Solana
money_market,Benqi Lending,benqi-lending,Lending,Lending: >$1M of BTC on 2026-09-20,85.76,170.82,0,2024-12,1931.67,1403.61,77.02,2,Avalanche
money_market,Euler V2,euler-v2,Lending,Lending: >$1M of BTC on 2026-09-20,141.76,83.2,108.36,2025-03,1532.49,0,23.7,13,Arbitrum Avalanche BOB Base Binance Ethereum Hyperliquid L1 Monad Unichain
money_market,AlphaFi Lending,alphafi-lending,Lending,Lending: >$1M of BTC on 2026-09-20,104.25,98.29,1.83,2026-06,252.01,0,,,Sui
money_market,Suilend,suilend,Lending,Lending: >$1M of BTC on 2026-09-20,162.83,24.32,40.08,2025-08,1337.45,0,,,Sui
money_market,HyperLend Pooled,hyperlend-pooled,Lending,Lending: >$1M of BTC on 2026-09-20,137.63,28.74,0,2025-09,568.17,0,137.12,1,Hyperliquid L1
money_market,Wildcat Protocol,wildcat-protocol,Uncollateralized Lending,Uncollateralized Lending: >$1M of BTC on 2026-09-20,0.51,155.29,0,2026-06,213.39,0.0,0.58,4,Ethereum
money_market,Moonwell Lending,moonwell-lending,Lending,Lending: >$1M of BTC on 2026-09-20,63.19,60.72,43.12,2024-11,881.68,349.53,62.09,4,Base Ethereum
money_market,Alpaca Finance 2.0,alpaca-finance-2.0,Lending,Lending: >$1M of BTC on 2026-09-20,120.25,0.01,0,2024-09,243.23,228.47,,,Binance
money_market,Native Credit Pool,native-credit-pool,Lending,Lending: >$1M of BTC on 2026-09-20,44.93,53.35,0,2026-05,223.85,3.27,55.76,1,Arbitrum Base Ethereum Morph
money_market,Dolomite,dolomite,Lending,Lending: >$1M of BTC on 2026-09-20,57.73,40.46,0.22,2025-02,4986.56,33.98,281.16,6,Arbitrum Berachain Ethereum Mantle
money_market,Tectonic,tectonic,Lending,Lending: >$1M of BTC on 2026-09-20,93.04,0,0,2024-11,305.97,277.0,114.58,2,Cronos
money_market,TermMax,termmax,Lending,Lending: >$1M of BTC on 2026-09-20,0.0,80.94,0,2026-03,223.56,4.18,,,BSquared
money_market,Vires Finance,vires-finance,Lending,Lending: >$1M of BTC on 2026-09-20,72.89,0.05,0,2025-07,74.72,70.67,,,Waves
money_market,MetalX Lending,metalx-lending,Lending,Lending: >$1M of BTC on 2026-09-20,56.76,14.6,0,2026-08,73.64,0,,,Proton
money_market,Curve LlamaLend,curve-llamalend,Lending,Lending: >$1M of BTC on 2026-09-20,66.86,0,0,2025-05,146.27,97.41,7.85,6,Arbitrum Ethereum
money_market,Hydration Lending,hydration-lending,Lending,Lending: >$1M of BTC on 2026-09-20,35.42,1.13,0,2025-12,54.26,0,,,HydraDX
money_market,Fraxlend,fraxlend,Lending,Lending: >$1M of BTC on 2026-09-20,35.27,0,0,2024-09,125.13,125.13,1.13,1,Arbitrum Ethereum
money_market,Morpho Midnight,morpho-midnight,Lending,Lending: >$1M of BTC on 2026-09-20,34.68,0.0,0,2026-09,34.68,0,,,Base
money_market,Project 0,project-0,Lending,Lending: >$1M of BTC on 2026-09-20,29.94,2.88,0,2026-05,307.44,0,28.19,5,Solana
money_market,Curvance,curvance,Lending,Lending: >$1M of BTC on 2026-09-20,0.14,32.47,0,2026-06,32.93,0,0.14,1,Monad
money_market,Save,save,Lending,Lending: >$1M of BTC on 2026-09-20,28.83,3.77,0,2025-05,72.22,0.45,28.8,1,Solana
money_market,LayerBank,layerbank,Lending,Lending: >$1M of BTC on 2026-09-20,24.91,5.99,0.01,2024-09,10223.33,10198.67,0.2,1,Hemi Move RSK
money_market,marginfi Lending,marginfi-lending,Lending,Lending: >$1M of BTC on 2026-09-20,27.07,2.88,0,2025-10,52.92,46.22,,,Solana
money_market,Current,current,Lending,Lending: >$1M of BTC on 2026-09-20,11.68,13.78,0.0,2026-09,25.45,0,204.69,3,Sui
money_market,Silo V2,silo-v2,Lending,Lending: >$1M of BTC on 2026-09-20,21.27,0.18,20.63,2025-10,596.03,0,23.08,3,Avalanche Sonic
money_market,Flying Tulip Lend,flying-tulip-lend,Lending,Lending: >$1M of BTC on 2026-09-20,0.13,19.75,0,2026-08,19.96,0,,,Ethereum Sonic
money_market,Avalon Finance,avalon-finance,Lending,Lending: >$1M of BTC on 2026-09-20,5.89,10.74,3.72,2024-12,14433.53,6100.78,1.51,3,Arbitrum BOB Base Binance Bitlayer Ethereum Goat Klaytn Merlin Sonic ZetaChain
money_market,Folks Finance xChain,folks-finance-xchain,Lending,Lending: >$1M of BTC on 2026-09-20,16.08,0.24,0,2025-12,95.97,0,15.99,4,Arbitrum Avalanche Base Binance Ethereum Monad Polygon Sei
money_market,Loopscale,loopscale,Lending,Lending: >$1M of BTC on 2026-09-20,12.82,3.47,2.96,2025-09,55.11,0,4.49,1,Solana
money_market,Gearbox,gearbox,Lending,Lending: >$1M of BTC on 2026-09-20,12.96,2.47,0,2025-03,113.32,33.3,5.27,1,Ethereum Hemi
money_market,BEND,bend,Lending,Lending: >$1M of BTC on 2026-09-20,15.39,0,0,2026-09,15.39,0,,,Berachain
money_market,EtherFi Borrowing Market,etherfi-borrowing-market,Lending,Lending: >$1M of BTC on 2026-09-20,14.71,0,14.71,2026-09,14.71,0,,,Optimism
money_market,Scallop Lend,scallop-lend,Lending,Lending: >$1M of BTC on 2026-09-20,13.72,0.58,0,2025-12,35.28,21.05,0.93,2,Sui
money_market,Rhea Lend,rhea-lend,Lending,Lending: >$1M of BTC on 2026-09-20,8.6,5.17,0,2024-10,35.44,22.86,,,Near
money_market,Kava Lend,kava-lend,Lending,Lending: >$1M of BTC on 2026-09-20,12.4,0.19,0,2025-02,51.33,29.23,,,Kava
money_market,Hatom Lending,hatom-lending,Lending,Lending: >$1M of BTC on 2026-09-20,10.18,2.38,0,2024-09,38.26,29.2,10.17,1,Elrond
money_market,Capyfi,capyfi,Lending,Lending: >$1M of BTC on 2026-09-20,10.69,1.76,0,2026-02,446.16,6.04,,,Base Ethereum LaChain Network
money_market,Kinza Finance,kinza-finance,Lending,"Lending: <$1M today, >=100 BTC at a month-end since 2024-09 (kept for the history)",10.49,0.35,0.03,2024-09,276.11,251.62,10.4,1,Binance Ethereum
money_market,Echelon Market,echelon-market,Lending,"Lending: <$1M today, >=100 BTC at a month-end since 2024-09 (kept for the history)",6.62,0.0,0.02,2025-04,695.91,0,6.46,2,Aptos Move
money_market,Venus Flux,venus-flux,Lending,"Lending: <$1M today, >=100 BTC at a month-end since 2024-09 (kept for the history)",5.35,0.13,0,2026-02,520.87,0,,,Binance
money_market,YeiLend,yeilend,Lending,"Lending: <$1M today, >=100 BTC at a month-end since 2024-09 (kept for the history)",2.09,2.32,0.5,2025-06,2680.98,0,,,Sei
money_market,ZeroLend Lending,zerolend-lending,Lending,"Lending: <$1M today, >=100 BTC at a month-end since 2024-09 (kept for the history)",1.68,0,0,2024-12,2697.4,1044.93,,,X Layer zkSync Era
money_market,HypurrFi Pooled,hypurrfi-pooled,Lending,"Lending: <$1M today, >=100 BTC at a month-end since 2024-09 (kept for the history)",0.79,0.66,0,2025-08,149.39,0,0.71,1,Hyperliquid L1
money_market,TermFinance Lend,termfinance-lend,Lending,"Lending: <$1M today, >=100 BTC at a month-end since 2024-09 (kept for the history)",1.0,0,0,2025-01,274.34,59.29,,,Ethereum
money_market,INIT Capital,init-capital,Lending,"Lending: <$1M today, >=100 BTC at a month-end since 2024-09 (kept for the history)",0.84,0,0,2025-02,113.14,57.59,,,Mantle
money_market,Mendi Finance,mendi-finance,Lending,"Lending: <$1M today, >=100 BTC at a month-end since 2024-09 (kept for the history)",0.12,0.27,0,2024-09,107.96,98.42,,,Linea
money_market,Sumer.money,sumer.money,Lending,"Lending: <$1M today, >=100 BTC at a month-end since 2024-09 (kept for the history)",0.15,0.24,0.0,2025-02,1181.16,32.13,,,Arbitrum Berachain CORE Goat
money_market,Venus Isolated Pools,venus-isolated-pools,Lending,"Lending: <$1M today, >=100 BTC at a month-end since 2024-09 (kept for the history)",0.15,0,0,2024-09,173.49,123.66,,,Binance
money_market,Ionic Protocol,ionic-protocol,Lending,"Lending: <$1M today, >=100 BTC at a month-end since 2024-09 (kept for the history)",0,0,0,2024-09,2417.38,2412.6,,,
cdp,f(x) Protocol,fx-protocol,Dual-Token Stablecoin,C0 slug in products.py,1287.6,0,0.0,2026-09,1287.6,147.94,,,Ethereum
cdp,River Omni-CDP (satUSD),river-omni-cdp,CeDeFi,C0 slug in products.py,1245.42,0,996.77,2025-09,5222.88,21.37,,,BOB BSquared Base Binance Bitlayer Ethereum Hemi
cdp,crvUSD / LlamaLend,crvusd,CDP,C0 slug in products.py,929.86,0,0.0,2025-04,1632.88,754.31,930.18,3,Ethereum
cdp,Frankencoin,frankencoin,CDP,C0 slug in products.py,360.28,0,0,2026-09,360.28,82.97,359.86,20,Ethereum
cdp,Sky (Maker),sky-lending,CDP,C0 slug in products.py,339.34,0,0,2024-09,6255.85,6255.85,338.56,3,Ethereum
cdp,Money on Chain,moneyonchain,Dual-Token Stablecoin,C0 slug in products.py,271.75,0,0,2025-01,1237.38,1216.48,,,RSK
cdp,Sovryn Zero,sovryn-zero,CDP,C0 slug in products.py,249.62,0,0,2024-09,540.49,540.49,,,RSK
cdp,BIMA CDP,bima-cdp,CDP,C0 slug in products.py,125.81,0,0,2026-09,125.81,0,,,Bitcoin Ethereum Hemi
cdp,BTCFi CDP,btcfi-cdp,CDP,C0 slug in products.py,92.33,0,0,2025-02,245.2,127.41,1.05,1,Base Bifrost Network Bitcoin
cdp,Kava Mint,kava-mint,CDP,C0 slug in products.py,62.37,0,0,2025-02,206.33,202.8,62.38,1,Kava
cdp,Bucket,bucket-cdp,CDP,C0 slug in products.py,57.63,0,0.02,2025-08,136.45,0,,,Sui
cdp,Mezo Borrow,mezo-borrow,CDP,C0 slug in products.py,36.36,0,0,2026-01,313.63,0,,,Mezo
cdp,Hylo,hylo-protocol,Dual-Token Stablecoin,C0 slug in products.py,34.42,0,0,2026-09,34.42,0,,,Solana
cdp,Yala,yala,CDP,C0 slug in products.py,28.98,0,0,2025-10,2171.47,0,,,Bitcoin
cdp,Threshold thUSD,threshold-thusd,CDP,C0 slug in products.py,26.76,0,0,2024-09,117.22,117.22,,,Ethereum
cdp,Lista CDP,lista-cdp,CDP,C0 slug in products.py,25.78,0,0,2024-10,344.31,340.56,23.72,1,Binance
cdp,Felix CDP,felix-cdp,CDP,C0 slug in products.py,23.12,0,0,2025-08,232.01,0,23.11,1,Hyperliquid L1
cdp,Abracadabra,abracadabra-spell,CDP,C0 slug in products.py,21.07,0,0,2024-11,74.57,60.96,,,Arbitrum Ethereum
cdp,Inverse FiRM,inverse-finance-firm,CDP,C0 slug in products.py,9.07,0,0,2024-10,73.47,60.86,9.07,2,Ethereum
cdp,Angle,angle,CDP,C0 slug in products.py,5.75,0,0,2024-09,54.17,54.17,,,Arbitrum Ethereum Polygon
cdp,Bucket v2,bucket-protocol-v2,CDP,C0 slug in products.py,5.65,0,0,2025-10,68.59,0,,,Sui
cdp,Beraborrow,beraborrow,CDP,C0 slug in products.py,0.17,0,0.12,2025-04,2056.28,0,,,Berachain
cdp,bitSmiley,bitsmiley,CDP,C0 slug in products.py,0.13,0,0,2024-09,312.62,312.62,,,Bitlayer
